Symbol	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
TINF2	11715869_x_at	0.448875872	8.813639414	4.029148605	0.004743435	0.123957919	-1.89412434
TAX1BP3	11715876_at	-0.519771912	10.21871957	-4.371331246	0.003075926	0.100740951	-1.451994335
C7orf42	11715885_at	-0.688028601	7.8232787	-5.568686879	0.000772132	0.05150493	-0.052430352
IFI27	11715893_s_at	0.381787966	8.955440926	3.436975898	0.010460291	0.184508938	-2.70116627
MYO6	11715911_at	-0.595955549	6.603841734	-3.979161015	0.00506072	0.127926632	-1.960253545
CD44	11715916_a_at	0.474367759	8.883118604	3.510891361	0.009450629	0.175124995	-2.597753186
CD44	11715917_a_at	0.519043866	9.799580125	4.508004836	0.002599917	0.0924446	-1.280632653
SGK1	11715931_s_at	0.954866881	6.246731103	6.036317576	0.000474072	0.041529533	0.434008656
TUBB6	11715932_s_at	-0.586508033	9.928492743	-4.529133972	0.002533836	0.091341745	-1.254409934
MBTPS1	11715953_a_at	0.568438132	7.161668246	4.971298163	0.001500595	0.069804457	-0.722186389
EPRS	11715969_a_at	-0.396763234	9.35520277	-3.489276782	0.00973457	0.178413866	-2.627920592
FAM54B	11715973_a_at	0.471864841	6.43490439	3.724592911	0.007078325	0.151335496	-2.302897367
FAM54B	11715974_x_at	0.560167581	6.789046209	3.545209669	0.009017957	0.170850572	-2.549981586
MCM2	11715991_a_at	-1.292191904	7.846738899	-8.970440751	3.73E-05	0.020078841	2.853072485
MCM2	11715992_s_at	-0.79837933	7.694692894	-5.823869638	0.000589695	0.045181029	0.217003025
ID2	11715994_x_at	0.940975909	10.300964	6.472154105	0.000308055	0.034495928	0.859230249
MAL2	11716016_at	0.441339184	10.35996258	3.949003541	0.005263267	0.131170908	-2.000335327
SELT	11716027_at	-0.502959989	9.353064107	-4.13213092	0.004156004	0.116005344	-1.759113287
SELT	11716028_x_at	-0.456780615	8.98943734	-3.534576072	0.009149694	0.172304601	-2.564767001
BST2	11716034_a_at	1.499227939	8.693166982	8.397534665	5.78E-05	0.020282953	2.454625914
BST2	11716035_at	1.2770788	8.938816642	8.067628043	7.52E-05	0.022246524	2.210672968
BST2	11716036_x_at	1.443201946	8.849649659	8.850775994	4.08E-05	0.020282953	2.772378846
LAMC1	11716053_a_at	0.593177828	8.749752456	4.965798025	0.001510146	0.069920183	-0.728613718
STMN3	11716055_s_at	-0.454086509	9.193471948	-4.10356885	0.004310535	0.118396196	-1.796392085
FAM162A	11716061_a_at	0.500722902	10.12946164	4.225404912	0.003692056	0.10987427	-1.638270728
SLC37A4	11716065_at	-0.384945386	9.997996974	-3.455546315	0.010196164	0.182253211	-2.675119014
SLC37A4	11716066_x_at	-0.38302241	9.379727797	-3.458303845	0.010157559	0.181825812	-2.671254976
HSBP1	11716074_x_at	-0.536583985	9.284015727	-3.489944333	0.009725665	0.178413866	-2.626987981
PXDN	11716086_a_at	0.66563616	8.200983256	6.038167275	0.000473183	0.041529533	0.435869468
CKS1B	11716092_x_at	-0.906453818	8.806855478	-5.944261333	0.000520742	0.042743148	0.340779607
PCNA	11716103_a_at	-1.188683818	10.67296543	-9.947833674	1.87E-05	0.019966431	3.46611155
WDR34	11716120_a_at	-0.407892308	9.482612211	-3.645884115	0.007867354	0.159392018	-2.410759365
MVP	11716135_a_at	0.412382717	5.726960542	3.739485946	0.006938895	0.149777841	-2.282587666
PAFAH1B1	11716152_s_at	-0.450658908	8.586900937	-3.630755136	0.008029642	0.161042725	-2.431592114
RNF40	11716159_a_at	0.490573684	4.897307518	4.238312298	0.003632445	0.10881036	-1.621657118
MGST3	11716165_a_at	0.566117813	10.2411462	4.672123366	0.002132359	0.084340979	-1.078846726
MX1	11716167_a_at	1.348805194	9.19400563	12.05503504	5.04E-06	0.019966431	4.551220155
LMNB2	11716171_s_at	-0.865748262	8.145776798	-5.684316286	0.000682659	0.048235173	0.070860515
METAP2	11716176_s_at	-0.551860952	7.555044173	-3.522545991	0.009301236	0.173968529	-2.581512276
C5orf15	11716178_s_at	0.390191079	10.30061254	3.478364708	0.009881392	0.179940942	-2.64317363
C5orf15	11716179_at	0.528266898	7.607088071	3.716556455	0.00715482	0.151587331	-2.313869996
ALCAM	11716186_s_at	0.516770732	7.35956308	4.328121955	0.003245718	0.103302091	-1.506795957
ABCB6 /// ATG9A	11716187_a_at	0.973395151	8.101617095	8.622043871	4.85E-05	0.020282953	2.614464228
ID1	11716195_a_at	0.480407201	8.257661973	4.296933091	0.003374654	0.104839486	-1.546538415
ADIPOR2	11716197_a_at	0.497820676	7.321820549	4.427760206	0.00286869	0.096918628	-1.380878546
UBE2Q2	11716199_x_at	0.552502374	8.03826087	4.807774693	0.001815434	0.077256645	-0.915345923
PISD	11716201_x_at	0.886815183	7.498778379	7.749744971	9.77E-05	0.02322127	1.964893616
MGP	11716203_a_at	-0.767226808	8.412031463	-3.534666638	0.009148564	0.172304601	-2.564641011
VPS28	11716209_a_at	0.451905206	9.90943157	4.017494261	0.004815421	0.125112473	-1.909507477
PRPF3	11716214_a_at	-0.615335771	8.830691271	-5.26922228	0.001070863	0.060643443	-0.381210896
CKAP5	11716224_a_at	-0.549610823	8.29189144	-3.820773765	0.006228487	0.14273072	-2.172304748
CTNNBIP1	11716232_at	-0.387456247	6.956436715	-3.520899405	0.009322188	0.174245345	-2.583805733
ECE1	11716256_x_at	0.441923226	7.922408848	3.63080895	0.008029058	0.161042725	-2.431517955
RHEB	11716258_at	-0.813060255	6.043517517	-6.075765144	0.000455517	0.040817759	0.473587539
CBX5	11716275_a_at	-1.13619911	5.02773421	-9.319069357	2.89E-05	0.019966431	3.080915859
CBX5	11716276_a_at	-0.946752099	8.925022865	-5.518964375	0.000814557	0.05256389	-0.106068325
CBX5	11716277_a_at	-1.088397739	7.317123698	-9.147783094	3.28E-05	0.019966431	2.970300079
CBX5	11716278_s_at	-0.847239562	7.977164536	-5.758481293	0.000631371	0.046992022	0.148886423
CBX5	11716279_x_at	-1.057976759	7.539144256	-8.54198442	5.16E-05	0.020282953	2.558025491
CBX5	11716280_a_at	-0.744622245	5.17808674	-5.021966074	0.001415684	0.068122701	-0.663204149
RABAC1	11716287_at	0.631422894	9.339821889	5.676347861	0.00068844	0.048401026	0.062428509
G6PD	11716293_x_at	0.477658082	8.975248738	4.224657072	0.003695542	0.10987427	-1.639234115
FLOT2	11716296_at	0.439767485	4.766499199	3.421677957	0.010683393	0.186450831	-2.722656114
ATXN10	11716305_at	-0.494026894	6.006511103	-4.291207801	0.003398926	0.105191619	-1.553850801
INSIG1	11716338_a_at	0.431417462	9.84921174	3.737288251	0.006959281	0.150086983	-2.285582658
PRC1	11716358_s_at	-1.002140983	11.30949614	-8.748148551	4.41E-05	0.020282953	2.702129571
VPS26B	11716371_a_at	0.41034381	6.85824781	3.665482876	0.007662368	0.157815799	-2.383819311
SELENBP1	11716401_a_at	1.127401933	9.442605568	9.448518243	2.64E-05	0.019966431	3.162855941
PCDHGA1 /// PCDHGA10 /// PCDHGA11 /// PCDHGA12 /// PCDHGA2 /// PCDHGA3 /// PCDHGA4 /// PCDHGA5 /// PCDHGA6 /// PCDHGA7 /// PCDHGA8 /// PCDHGA9 /// PCDHGB1 /// PCDHGB2 /// PCDHGB3 /// PCDHGB4 /// PCDHGB5 /// PCDHGB6 /// PCDHGB7 /// PCDHGC3 /// PCDHGC4 /// PCDHGC5	11716424_a_at	0.402786806	9.111250934	3.526610561	0.009249735	0.173340846	-2.575852451
PMF1	11716428_a_at	-0.427186386	8.121603751	-3.556274576	0.008883042	0.169596703	-2.534612512
SLC39A13	11716431_x_at	0.400594249	7.449338675	3.43142425	0.010540671	0.185464103	-2.70896158
RFXANK	11716462_a_at	0.492687021	9.02183042	4.341144263	0.003193489	0.102504371	-1.490248418
SIVA1	11716492_s_at	-0.535796128	10.14968268	-4.564502969	0.002427315	0.089257019	-1.210676025
CHMP4B	11716497_at	-0.415038131	9.62673972	-3.771841492	0.006646122	0.147115305	-2.238575081
CUL3	11716507_at	-0.605755734	7.095329354	-3.485316276	0.009787586	0.178890897	-2.633454856
GSTK1	11716527_a_at	0.616600178	9.990348887	5.368457478	0.000959607	0.056813074	-0.270729732
ELAVL1	11716528_at	-0.518116753	5.858886178	-4.325624722	0.00325584	0.103498909	-1.509972318
ELAVL1	11716530_at	-0.475874065	9.68290794	-3.647171206	0.007853712	0.159328398	-2.408988503
PRSS8	11716541_a_at	0.461059914	9.047995566	3.884122117	0.005729581	0.136491183	-2.087038325
PRSS8	11716542_x_at	0.578292735	8.856021489	4.219877039	0.003717912	0.109992871	-1.645393983
HLA-DMA	11716554_a_at	0.553595214	4.926021379	4.18446072	0.003888345	0.111440145	-1.691146905
PSMG3	11716555_at	-0.401481076	8.455146101	-3.481158478	0.009843576	0.179669517	-2.639266995
AIMP2	11716562_at	-0.472778821	10.23872625	-3.450753558	0.010263638	0.182924944	-2.681837251
RPA1	11716572_s_at	-0.4476467	10.30588465	-3.779765902	0.006576477	0.146536471	-2.227818943
BTBD1	11716591_a_at	0.774912927	7.214982009	5.886627328	0.00055256	0.043844648	0.281788678
BTBD1	11716592_s_at	0.928161785	7.312023964	5.932558853	0.000527033	0.042903817	0.328840578
BTBD1	11716593_x_at	0.732146815	7.435960591	6.388828733	0.00033396	0.035394727	0.779955396
REEP5	11716616_a_at	0.627247978	11.57440912	5.400502784	0.000926469	0.056195575	-0.235378922
DTYMK	11716642_s_at	-0.821369854	9.420322334	-7.063664198	0.000177422	0.027789578	1.395880905
MTHFD1	11716667_a_at	-0.700959853	10.26679505	-6.209586764	0.000398361	0.038086445	0.60621519
DDR1	11716708_a_at	0.421677337	12.0913135	3.777782436	0.006593834	0.14663062	-2.230510322
GRAMD1A	11716739_x_at	0.772921679	7.425111567	7.012619847	0.000185809	0.02854134	1.351318041
GNS	11716752_x_at	0.459370696	9.92366494	3.921578847	0.005455135	0.133489094	-2.036905756
CLDN4	11716780_s_at	0.425769675	9.335897979	3.564327919	0.008786216	0.168883014	-2.523436822
CCNB2	11716793_a_at	-0.735048123	9.655746883	-6.350413931	0.000346716	0.035901047	0.743091049
LBR	11716797_s_at	-0.673905799	7.876657556	-4.398779287	0.002973141	0.098828484	-1.417338324
BDH2 /// NHEDC2	11716822_a_at	0.633909994	8.855488312	5.126898464	0.001256235	0.064567145	-0.542351078
BDH2	11716823_s_at	0.557155323	7.067118577	4.658787885	0.002166669	0.085178135	-1.095080374
CDV3	11716837_a_at	0.733827666	8.820886153	6.23552154	0.000388237	0.037784663	0.631628328
UTP18	11716868_at	-0.511996839	11.04460285	-4.2115345	0.00375731	0.110414696	-1.656153438
ISG15	11716895_s_at	0.693160073	12.24305553	6.280931533	0.000371196	0.036887716	0.675900208
CDH1	11716905_a_at	0.530787736	7.179028816	4.312074005	0.003311373	0.103962594	-1.527225615
RNASET2	11716908_a_at	0.601485488	10.31467069	5.430634048	0.000896467	0.055311667	-0.202284029
HMOX1	11716939_a_at	1.999819995	6.59603787	8.103832285	7.30E-05	0.022195629	2.237987345
EXOSC5	11716943_at	-0.426011016	8.584500021	-3.73050298	0.007022634	0.150793384	-2.294833947
TM9SF3	11716949_s_at	-0.949072569	7.88472628	-5.938944449	0.00052359	0.042798823	0.335357706
NSFL1C	11716977_a_at	-0.656604772	6.676692754	-5.210252292	0.001143714	0.062158309	-0.447591188
C3orf26	11716982_at	-0.684313188	8.17252472	-5.74103753	0.000643036	0.047162179	0.130608088
TSPAN4	11716996_a_at	-0.534984215	5.995682605	-3.455736333	0.010193499	0.182253211	-2.674852717
BNIP3L	11717008_a_at	0.663824714	8.889684169	6.033781769	0.000475293	0.041562957	0.43145682
GADD45A	11717039_a_at	0.545591866	8.566942825	4.524877869	0.002546997	0.091353874	-1.259686251
C20orf11	11717042_at	-0.407310648	10.10155789	-3.618079489	0.008168397	0.162561168	-2.449071104
DECR1	11717060_a_at	0.498685847	10.68356103	4.421015532	0.002892634	0.097431056	-1.389351679
PRPS1	11717085_a_at	-0.424320132	8.286374142	-3.792959236	0.006462272	0.145200291	-2.209931497
ETHE1	11717113_a_at	0.580061522	6.792350362	3.595585935	0.008421039	0.165032767	-2.480143041
SUPT16H	11717114_a_at	-0.428905173	10.01375354	-3.640914397	0.00792027	0.160150125	-2.417599193
CLN6	11717128_a_at	-0.445735548	7.533253065	-3.429403589	0.010570092	0.185830597	-2.711799838
SAR1A	11717130_a_at	0.609193819	9.813553052	5.00287536	0.001447037	0.068653105	-0.685379485
LANCL1	11717145_a_at	0.620388699	6.220868973	5.588941038	0.000755559	0.050745979	-0.030688679
NME1 /// NME1-NME2	11717155_a_at	-0.526092717	12.06956911	-4.61757222	0.002276611	0.086945093	-1.145435017
ACP1	11717156_s_at	-0.402659768	10.49973178	-3.346534836	0.011855917	0.195851291	-2.828631702
CDC20	11717163_s_at	-0.846091038	9.402157697	-7.243489865	0.000151088	0.025965636	1.550347502
MEF2D	11717185_a_at	0.42341736	4.505259258	3.820376337	0.006231763	0.14273072	-2.172841571
TXNIP	11717190_s_at	0.927757768	8.536742881	8.218227509	6.66E-05	0.02131259	2.323405137
EP400	11717231_at	-0.381420156	7.749078362	-3.389176297	0.011174526	0.190193656	-2.768409424
RBBP4	11717240_at	-0.542951603	7.370049475	-4.797172602	0.001838233	0.07780692	-0.928017757
CCDC142 /// MRPL53	11717260_at	0.378910243	10.65445217	3.416002498	0.010767458	0.187207229	-2.730636174
ATPAF1	11717263_s_at	-1.033972637	6.541551423	-7.492897794	0.000121529	0.02446079	1.758236062
COL5A1	11717272_at	-0.862863426	5.932385617	-6.369218806	0.000340405	0.035666851	0.761162059
LRPPRC	11717296_s_at	-0.552638087	10.28580739	-4.794487344	0.001844057	0.077876807	-0.931230104
LRPPRC	11717297_at	-0.830329109	6.303874189	-4.090222578	0.004384885	0.11944156	-1.813855363
C10orf116	11717305_a_at	0.855910207	7.967586917	7.066951698	0.000176897	0.027789578	1.39874
C10orf116	11717306_x_at	0.620414376	7.525733545	5.50468189	0.000827218	0.052938098	-0.121545011
IKBKAP	11717312_at	-0.509395405	4.245978606	-4.600585471	0.002323698	0.087881395	-1.166268236
BCL2L12	11717364_a_at	-0.619482026	9.805783508	-5.114638943	0.001273796	0.065050785	-0.556380624
ARSD	11717370_at	0.57744326	9.039536605	5.201624816	0.001154825	0.062467843	-0.457348515
41163	11717388_x_at	-0.779573619	8.078505121	-4.67234313	0.002131799	0.084340979	-1.078579442
C3orf37	11717391_s_at	-0.380537644	9.362700999	-3.359681198	0.011641217	0.193816309	-2.810041928
FN3KRP	11717392_a_at	-0.730477746	8.414381388	-5.976358535	0.000503911	0.041971255	0.373424078
ARIH2	11717394_at	-0.43253649	8.074811922	-3.916203468	0.005493627	0.133899039	-2.044087167
FAM120AOS	11717405_a_at	0.552010112	9.644210498	4.403324738	0.002956486	0.098496238	-1.411610922
RHOU	11717416_a_at	0.477515249	6.783939301	3.594050792	0.008438586	0.165032767	-2.482266177
CDCA7L	11717436_a_at	-0.399628526	6.228658459	-3.345622449	0.011870974	0.195851291	-2.829922635
EPT1	11717469_at	-0.48086829	5.440631453	-3.927319493	0.005414352	0.133178004	-2.029241205
FKBP10	11717480_a_at	0.462846427	4.958757137	3.949308163	0.005261178	0.131170908	-1.999929763
NUB1	11717502_a_at	0.610292569	5.464556852	4.839492055	0.00174907	0.075910056	-0.877544708
EFHD1	11717516_s_at	0.679932987	10.43234397	5.877358512	0.000557877	0.043844648	0.272256568
DTX3L	11717562_x_at	0.870173032	6.246159819	4.179359039	0.003913591	0.111796269	-1.697753959
DTX3L	11717563_a_at	0.544135895	4.775633628	4.320158333	0.003278118	0.103851217	-1.516928793
PPP1R3C	11717575_at	0.967885981	8.369655189	8.503051295	5.32E-05	0.020282953	2.530356444
ELF3	11717595_s_at	-0.893405488	7.675645048	-6.914938775	0.000203128	0.029420561	1.265141197
KLHDC8B	11717613_a_at	0.567863347	7.275029651	4.992394951	0.001464574	0.068971561	-0.697577985
EPHA2	11717619_at	-0.750246408	5.88880559	-6.818598757	0.000222002	0.03035352	1.178975731
MLH1	11717635_a_at	-0.61858749	8.610684537	-4.894197879	0.001640811	0.073051243	-0.81272548
GPR107	11717644_a_at	0.4827839	7.777371924	3.68294997	0.007484537	0.155715486	-2.359855016
C10orf119	11717647_at	-0.729950144	9.652170418	-6.03715962	0.000473667	0.041529533	0.43485582
C10orf119	11717648_x_at	-0.773710148	8.400834904	-6.179027831	0.000410671	0.038642853	0.576150549
CD109	11717658_at	0.442335212	5.725220634	3.81638375	0.006264768	0.143070008	-2.17823584
POLA2	11717667_a_at	-0.504149323	7.471920791	-3.448040947	0.01030204	0.183285213	-2.685640941
RNF19A	11717689_a_at	0.586801476	6.869108644	4.369415212	0.003083245	0.100740951	-1.454418052
CEBPG	11717693_at	-0.486466039	8.758104794	-4.210253046	0.003763402	0.110414696	-1.657807122
TYSND1	11717696_a_at	0.405572363	8.143663539	3.559316872	0.00884633	0.169380694	-2.530389666
MTFP1 /// SEC14L2	11717711_s_at	-0.401594357	7.30112625	-3.635871149	0.007974362	0.160654736	-2.424543744
HN1	11717727_s_at	-0.835769178	8.774440121	-6.641043745	0.000262164	0.032398833	1.017064548
ZCCHC24	11717733_s_at	0.38675916	6.657526663	3.454585461	0.010209653	0.182296817	-2.676465655
PCYOX1	11717739_at	0.38461767	10.177125	3.445013383	0.010345082	0.183786739	-2.689887367
GPRC5C	11717742_a_at	0.496754721	8.357069377	4.189790306	0.00386216	0.111332334	-1.684249101
ACOT7	11717743_a_at	-0.591386528	8.574284423	-5.359324249	0.000969291	0.057249449	-0.280834127
SEC14L1	11717753_a_at	0.574772881	8.233777719	5.03137314	0.001400512	0.068025863	-0.652298463
SEC14L1	11717754_a_at	0.49210245	8.398870866	4.412554493	0.002922982	0.097752015	-1.399991395
RALA	11717756_s_at	-0.576511787	9.448044566	-4.29692099	0.003374705	0.104839486	-1.546553866
THRA	11717773_a_at	0.644828883	7.550816636	5.14866865	0.001225708	0.064012399	-0.517496242
PLEKHB1	11717774_a_at	1.09860007	6.101958841	6.89868941	0.000206181	0.029483644	1.250690009
ZER1	11717797_at	0.769575884	6.996026705	5.254821372	0.001088166	0.061161023	-0.397371236
TOB2	11717819_a_at	0.629996254	7.060359352	4.729364947	0.001991737	0.080936787	-1.009491255
LTBR	11717828_a_at	0.524500036	9.261661488	4.42871888	0.002865304	0.096918628	-1.379674788
TSC22D3	11717830_a_at	0.422146354	8.541102342	3.487727916	0.009755267	0.178497936	-2.630084678
SRSF4	11717838_a_at	-0.469571404	9.242063717	-4.243144461	0.0036104	0.10843248	-1.615444276
PSME4	11717865_at	-0.573692667	6.560993473	-4.209257574	0.003768142	0.110422851	-1.659091934
ZNF828	11717888_s_at	-0.73338768	7.088930524	-4.731194768	0.001987413	0.080893933	-1.007282919
ASF1B	11717900_at	-1.152708087	7.659688881	-9.14024573	3.29E-05	0.019966431	2.965374148
CKMT1A /// CKMT1B	11717916_s_at	0.562507843	8.268280421	3.858362313	0.005927015	0.138900393	-2.121638401
DCPS	11717953_a_at	-0.489415941	7.398694128	-3.880945533	0.005753537	0.136909279	-2.091299658
TCF3	11717959_a_at	-1.00614582	8.201489204	-6.069066963	0.00045861	0.040845866	0.466882671
NUP205	11717996_a_at	-0.694253853	9.808138802	-5.996350442	0.000493735	0.041813728	0.393681861
NUP205	11717997_at	-0.662368553	8.066077574	-4.35368316	0.003144069	0.101756364	-1.474340879
MYLIP	11718006_a_at	0.536817498	9.992963381	4.783953691	0.001867103	0.078381898	-0.943842625
ADARB1	11718019_x_at	0.468669728	6.894767501	3.848014957	0.006008392	0.140342313	-2.135564785
SNRPE	11718041_at	-1.050035733	4.732987375	-8.424029747	5.66E-05	0.020282953	2.473744303
GLRX	11718048_a_at	0.801677786	4.654933706	5.251329095	0.001092409	0.061233056	-0.401295065
TYMS	11718058_a_at	-1.14155006	10.45497328	-8.64766745	4.76E-05	0.020282953	2.632398657
IPO5	11718106_s_at	-0.810096287	8.109019616	-4.467690657	0.002731316	0.095001044	-1.330865386
DLD	11718111_at	-0.645067412	6.476726507	-4.329497636	0.003240156	0.103302091	-1.505046584
SF3A3	11718112_at	-0.539797659	8.151161086	-3.889952877	0.00568589	0.136216425	-2.079220417
AIMP1	11718123_at	-0.826403712	5.940336573	-6.391299482	0.000333157	0.035385467	0.78231955
AIMP1	11718125_a_at	-0.808396937	8.387341786	-3.969780344	0.005122799	0.128965295	-1.972706285
AIMP1	11718126_s_at	-0.664049149	7.978244393	-3.346864889	0.011850475	0.195851291	-2.828164736
TK1	11718127_at	-1.196400917	9.77996885	-10.4421182	1.34E-05	0.019966431	3.747434287
