Symbol	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
IFITM1	11715670_a_at	0.647852256	11.84747423	6.909049477	0.000197127	0.007913068	1.120031491
IFITM1	11715671_x_at	0.660624017	11.97338758	6.711525028	0.000237082	0.008771025	0.924690824
CCNG1	11715675_a_at	0.577706986	8.436768007	5.645257094	0.000692422	0.016316173	-0.21528074
CREG1	11715682_a_at	0.599708003	8.210018042	5.555201837	0.000762824	0.017011931	-0.318590457
CD164	11715689_a_at	0.954989021	10.62787612	9.088110265	3.26E-05	0.002973081	2.998710091
CD164	11715690_x_at	1.015020231	9.90570832	10.09922328	1.60E-05	0.002115083	3.72608105
NOLC1	11715697_a_at	-0.694007799	10.94486942	-6.229218506	0.000378717	0.011642595	0.427498442
MB	11715708_s_at	0.989609847	9.569402226	10.13029959	1.57E-05	0.002082429	3.747214651
MB	11715709_x_at	0.928091988	9.394551468	9.609018096	2.24E-05	0.002458663	3.383327329
AKR1C3	11715711_a_at	0.741011078	6.755448655	7.828143948	8.78E-05	0.005024624	1.970623848
TMEM123	11715735_a_at	0.634956449	7.506547256	5.010625167	0.001401796	0.023778882	-0.968235681
SSRP1	11715748_at	-1.001673775	8.000911747	-9.691664423	2.11E-05	0.00239998	3.442378756
SSRP1	11715749_s_at	-0.642514647	9.494670935	-6.73003197	0.000232977	0.008702783	0.94319236
SSRP1	11715750_at	-0.793948379	7.85334945	-8.495268349	5.12E-05	0.003751347	2.533221353
DUSP1	11715765_a_at	0.630075104	5.357411683	6.671054143	0.000246343	0.009011648	0.884086514
HSPB8	11715776_a_at	-0.53529479	10.36777642	-5.634808798	0.000700207	0.016386176	-0.227208119
TUBG1	11715791_at	-0.655548656	10.5309407	-6.930067545	0.00019334	0.007837312	1.140543807
ACTG2	11715793_a_at	-1.785015417	4.699626402	-14.33636298	1.41E-06	0.000752161	6.079297883
ACTG2	11715794_x_at	-1.371295697	5.16212462	-11.65515078	5.98E-06	0.001208003	4.705230933
ANXA6	11715803_a_at	1.182164829	6.931356789	9.839016284	1.91E-05	0.002324821	3.546373684
PPP2CA	11715804_s_at	-0.545605901	7.247770501	-5.122575484	0.001232902	0.022148988	-0.83113871
STARD10	11715807_a_at	0.708144363	11.27137193	7.143905199	0.000159113	0.00694027	1.346312592
TRAP1	11715814_a_at	-0.476935989	10.22632716	-5.06421748	0.00131795	0.022874184	-0.902373307
PSMC3	11715815_a_at	-0.48203652	11.08506277	-5.124602038	0.00123006	0.022143542	-0.828674053
ZFP36L2	11715817_at	-0.769578274	7.388675273	-6.532934626	0.000281136	0.009642981	0.743995659
ZFP36L2	11715818_at	-0.654488719	8.358648366	-5.809664995	0.000581773	0.014624099	-0.029608376
HMG20B	11715826_x_at	0.564448151	8.868322088	5.46371828	0.000842582	0.017939227	-0.424718362
RUVBL1	11715834_x_at	-0.540639571	9.396353509	-5.811524508	0.00058064	0.014623667	-0.027529814
EFEMP1	11715846_at	-1.471709072	6.327548472	-12.83333625	3.07E-06	0.000919595	5.352064342
TINF2	11715868_a_at	0.488285108	8.814871732	5.060469701	0.001323629	0.02290138	-0.906965273
TAX1BP3	11715876_at	-0.587550362	10.18483034	-6.237566814	0.000375575	0.011581982	0.436356552
C7orf42	11715885_at	-0.830490918	7.752047542	-7.719034412	9.63E-05	0.005307661	1.874411427
IFI27	11715893_s_at	0.539925554	9.03450972	5.371401808	0.000932563	0.019096896	-0.533029389
SUCLG1	11715899_a_at	-0.608525426	8.180719042	-6.011201336	0.000472116	0.013090971	0.192917238
MYO6	11715911_at	-1.042938017	6.3803505	-6.447608885	0.000305362	0.010164004	0.65626488
EFNB1	11715914_at	0.484872131	4.359425537	4.954749525	0.00149554	0.024698612	-1.037359379
SGK1	11715931_s_at	1.078178727	6.308387026	7.22268799	0.000148262	0.006671094	1.420802307
TUBB6	11715932_s_at	-0.842716244	9.800388638	-9.062452532	3.32E-05	0.002986416	2.979193173
FAM54B	11715973_a_at	0.633406012	6.515674975	6.001610475	0.000476778	0.013159552	0.182452374
FAM54B	11715974_x_at	0.673065409	6.845495123	5.073152237	0.001304518	0.022734904	-0.891434402
MCM2	11715991_a_at	-1.304959534	7.840355085	-12.98918178	2.82E-06	0.000914085	5.432280045
MCM2	11715992_s_at	-0.86485936	7.661452879	-9.028529824	3.41E-05	0.00302279	2.953304422
ID2	11715994_x_at	0.834390559	10.24767132	7.757002445	9.33E-05	0.005237564	1.908030697
MAL2	11716016_at	0.529561604	10.40407379	5.567777283	0.000752531	0.016922549	-0.304095192
RAD23A	11716020_s_at	-0.47747638	9.815480178	-5.075378938	0.001301194	0.022700957	-0.888710075
SELT	11716027_at	-0.6427397	9.283174251	-5.857348582	0.000553474	0.014210176	0.023541907
SELT	11716028_x_at	-0.601614674	8.91702031	-5.173671897	0.001163405	0.021534302	-0.769181269
BST2	11716034_a_at	1.419370021	8.653238023	9.166417194	3.08E-05	0.00287683	3.057935562
BST2	11716035_at	1.288046633	8.944300559	9.664541219	2.15E-05	0.00242075	3.423056807
BST2	11716036_x_at	1.420156847	8.838127109	9.594260918	2.26E-05	0.002473395	3.372727862
LAMC1	11716053_a_at	0.638985279	8.772656182	5.888413621	0.000535863	0.013988691	0.058000596
STMN3	11716055_s_at	-0.586972118	9.127029144	-6.217823553	0.000383052	0.011717657	0.415392962
FAM162A	11716061_a_at	0.632106175	10.19515328	4.961653878	0.00148359	0.024566834	-1.0287928
HSBP1	11716074_x_at	-0.719701538	9.192456951	-7.659581492	0.000101286	0.005472868	1.821466965
WDR77	11716082_s_at	-0.638966552	8.476048563	-6.868104149	0.000204746	0.008068413	1.079921624
PXDN	11716086_a_at	0.810093828	8.27321209	7.775646885	9.18E-05	0.005181116	1.924485108
CKS1B	11716092_x_at	-1.127242621	8.696461076	-11.08588722	8.44E-06	0.001511921	4.36484353
PCNA	11716103_a_at	-1.553845155	10.49038476	-13.36145189	2.31E-06	0.000864165	5.619202648
WDR34	11716120_a_at	-0.493851674	9.439632528	-5.120074576	0.00123642	0.022148988	-0.834181102
PAFAH1B1	11716152_s_at	-0.661743632	8.481358575	-6.619183829	0.000258811	0.009224103	0.831752089
MGST3	11716165_a_at	0.578854205	10.2475144	5.621217069	0.000710481	0.01645936	-0.242746931
NUDC	11716166_x_at	-0.528945016	10.140782	-5.427993928	0.000876207	0.018353461	-0.466486624
MX1	11716167_a_at	1.108507971	9.073857018	11.73037696	5.72E-06	0.001200519	4.748785933
LMNB2	11716171_s_at	-1.039543373	8.058879242	-9.845650701	1.90E-05	0.00232176	3.551017585
P4HB	11716173_a_at	0.725728891	9.566509227	6.184965137	0.000395868	0.011891042	0.38039058
METAP2	11716176_s_at	-0.862178287	7.399885505	-7.124304611	0.000161949	0.007006721	1.327670763
C5orf15	11716179_at	0.791512523	7.738710884	6.201041315	0.000389539	0.0118222	0.397533373
ABCB6 /// ATG9A	11716187_a_at	0.865869861	8.04785445	8.939467727	3.64E-05	0.003114721	2.884871009
ID1	11716195_a_at	0.584190181	8.309553463	6.191633253	0.000393229	0.0118762	0.387505222
ID1	11716196_x_at	0.538447369	9.413938632	5.506538196	0.000804153	0.017564666	-0.374895243
ADIPOR2	11716197_a_at	0.522522942	7.334171682	5.549406721	0.000767619	0.017052657	-0.325277839
UBE2Q2	11716199_x_at	0.66023899	8.092129178	6.443912544	0.000306463	0.010184761	0.652443632
PISD	11716201_x_at	1.1696418	7.640191688	11.7673733	5.60E-06	0.001188804	4.770088021
MGP	11716203_a_at	-0.880647711	8.355321011	-6.538795554	0.000279552	0.009605247	0.749988289
VPS28	11716209_a_at	0.580554948	9.973756441	6.196401111	0.000391354	0.011850728	0.392588781
PRPF3	11716214_a_at	-0.733313433	8.77170244	-6.269903686	0.000363678	0.011336084	0.470582506
EIF2S1	11716221_at	-0.515803074	8.992582388	-5.507241623	0.000803538	0.017558985	-0.374078959
CKAP5	11716224_a_at	-0.651673599	8.240860052	-6.075928271	0.000441948	0.012544424	0.263220199
RHEB	11716258_at	-0.837203757	6.031445766	-7.534172027	0.000112788	0.005815045	1.708566731
CBX5	11716275_a_at	-0.912401149	5.139633191	-6.974176274	0.000185654	0.007657809	1.183422477
CBX5	11716276_a_at	-1.401880448	8.69745869	-8.792294677	4.07E-05	0.003303629	2.770292756
CBX5	11716277_a_at	-1.849068073	6.936788531	-12.68537712	3.32E-06	0.000943849	5.274804133
CBX5	11716278_s_at	-1.106832632	7.847368001	-10.93746061	9.26E-06	0.001612569	4.272841838
CBX5	11716279_x_at	-1.346396513	7.394934379	-7.633649494	0.000103552	0.00555287	1.798257934
CBX5	11716280_a_at	-0.864532936	5.118131394	-6.716455201	0.00023598	0.008758439	0.929623621
COL18A1	11716281_a_at	-0.540725203	8.615537623	-5.700734518	0.000652663	0.015727141	-0.152206552
FURIN	11716282_s_at	0.549031203	6.383568453	5.310763665	0.00099745	0.019779154	-0.604844124
RABAC1	11716287_at	0.808067875	9.42814438	8.446123651	5.32E-05	0.003827421	2.493225406
FLOT2	11716296_at	0.567783904	4.830507409	5.288749662	0.001022232	0.020003197	-0.631047931
ATXN10	11716305_at	-0.768115518	5.869466791	-7.864259871	8.52E-05	0.004971299	2.002202008
ICMT	11716323_at	-0.503268051	8.636420105	-4.980241058	0.001451939	0.024245527	-1.005766095
PRC1	11716358_s_at	-1.383923856	11.1186047	-13.54475247	2.10E-06	0.000839632	5.708883893
FAF1	11716362_a_at	0.789712141	5.840261916	5.917224371	0.000520087	0.01377379	0.089840934
GRN	11716377_s_at	0.616970908	10.28638865	6.363243158	0.000331631	0.01066687	0.568616156
BAZ1B	11716388_a_at	-0.721649137	7.877433721	-5.330675875	0.000975606	0.019462968	-0.581202895
SELENBP1	11716401_a_at	1.588744907	9.673277054	14.91554239	1.07E-06	0.000679001	6.334001879
PMF1	11716428_a_at	-0.501379174	8.084507357	-5.275384247	0.001037611	0.02017624	-0.646991584
RFXANK	11716462_a_at	0.554735655	9.052854737	5.816491327	0.000577625	0.014596344	-0.021980248
SIVA1	11716492_s_at	-0.65283618	10.09116265	-7.005053427	0.000180477	0.007506487	1.213303272
CUL3	11716507_at	-1.001903745	6.897255348	-6.713774357	0.000236578	0.008767602	0.926941717
SDR39U1	11716519_s_at	0.480061198	9.535077072	5.012825857	0.001398239	0.02374128	-0.96552273
GSTK1	11716527_a_at	0.637876454	10.00098702	6.49080976	0.000292816	0.009919382	0.700797768
PRSS8	11716542_x_at	0.688516079	8.911133161	6.235241554	0.000376447	0.011601648	0.43389021
RPA1	11716572_s_at	-0.53609469	10.26166066	-5.330754539	0.000975521	0.019462968	-0.581109614
BTBD1	11716591_a_at	1.054875741	7.354963416	8.727748371	4.28E-05	0.003376329	2.719445351
BTBD1	11716592_s_at	1.141495611	7.418690877	9.187142111	3.03E-05	0.002863592	3.073525213
BTBD1	11716593_x_at	0.957189641	7.548482004	7.920305094	8.14E-05	0.004839647	2.05094362
REEP5	11716616_a_at	0.674444216	11.59800724	7.143981515	0.000159102	0.00694027	1.346385089
ANGPTL4	11716630_a_at	0.570869149	6.450296609	5.235967544	0.001084478	0.020665993	-0.694163919
DTYMK	11716642_s_at	-0.992393333	9.334810595	-10.61638088	1.14E-05	0.001764575	4.068990763
MTHFD1	11716667_a_at	-0.884392546	10.1750787	-9.026710034	3.41E-05	0.00302279	2.951912872
TRIM44	11716705_at	0.583748408	8.167260406	6.05318359	0.000452297	0.012784939	0.238579997
CTSB	11716716_x_at	-0.608228894	7.960646195	-6.448162144	0.000305197	0.010164004	0.656836686
PLK1	11716727_x_at	-0.476050124	6.044314562	-5.035982558	0.001361411	0.023315926	-0.937019466
GRAMD1A	11716739_x_at	0.923517522	7.500409489	9.908581342	1.82E-05	0.002279747	3.594904465
IQGAP1	11716766_a_at	-0.88550226	8.290430741	-6.479328575	0.000296093	0.00996948	0.688985523
IQGAP1	11716767_at	-0.627424772	8.896626858	-6.284552159	0.000358427	0.011228068	0.48604205
RAI14	11716775_a_at	-0.640935245	5.283046984	-5.889773594	0.000535107	0.013983691	0.059506123
EIF1AX	11716778_s_at	-0.668816908	8.351273239	-5.744641856	0.000622993	0.015287576	-0.102591816
EIF1AX	11716779_at	-1.018393755	7.599037042	-8.272819091	6.11E-05	0.004074589	2.350387418
CCNB2	11716793_a_at	-0.937142699	9.554699595	-10.04111861	1.66E-05	0.002148103	3.686380385
LBR	11716797_s_at	-0.97381579	7.726702561	-9.521456585	2.38E-05	0.002546421	3.320187933
BDH2 /// NHEDC2	11716822_a_at	0.676421934	8.876744282	7.038945316	0.000174981	0.007385348	1.245973977
TM7SF3	11716832_s_at	-0.841362334	6.192794602	-6.894239048	0.000199846	0.00796506	1.105546153
DHRS3	11716835_a_at	-0.508385338	6.866055615	-5.427579598	0.000876605	0.018353461	-0.466972128
CDV3	11716837_a_at	0.884540182	8.896242411	7.494856686	0.000116691	0.005929776	1.672828216
UTP18	11716868_at	-0.595896942	11.00265279	-6.031482784	0.000462423	0.012923563	0.215006216
ISG15	11716895_s_at	0.650450124	12.22170056	6.936216876	0.000192247	0.007825065	1.14653534
CDH1	11716905_a_at	1.043295922	7.435282909	7.511290263	0.000115041	0.005868079	1.687786876
RNASET2	11716908_a_at	0.721648812	10.37475236	7.688321197	9.88E-05	0.005405592	1.847106523
HMOX1	11716939_a_at	1.929878023	6.561066884	8.359139986	5.70E-05	0.003972781	2.42188554
TM9SF3	11716949_s_at	-1.317608016	7.700458556	-10.15689146	1.54E-05	0.002073441	3.765243781
PDK4	11716974_a_at	0.599883	5.873576668	6.145798957	0.000411773	0.012160315	0.338483665
C3orf26	11716982_at	-0.750569109	8.13939676	-7.527113714	0.000113478	0.005832379	1.702162773
TSPAN4	11716996_a_at	-0.536058882	5.995145272	-5.110031884	0.001250657	0.022194789	-0.846407501
GADD45A	11717039_a_at	0.597665895	8.592979839	5.643901663	0.000693426	0.016316173	-0.216827182
PRPS1	11717085_a_at	-0.530164704	8.233451856	-5.143702214	0.001203625	0.021934248	-0.805474589
ETHE1	11717113_a_at	0.724701031	6.864670117	6.295430141	0.000354583	0.011142905	0.497504361
CLN6	11717128_a_at	-0.524819134	7.493711272	-5.266075927	0.001048472	0.020302874	-0.658110921
SAR1A	11717130_a_at	0.680380874	9.84914658	6.825823427	0.000212962	0.008243625	1.038294743
LANCL1	11717145_a_at	0.766799108	6.294074177	6.114659531	0.000424927	0.012344287	0.30502078
PTPN1	11717147_a_at	0.517251738	6.760402175	5.110110877	0.001250544	0.022194789	-0.846311274
NME1 /// NME1-NME2	11717155_a_at	-0.57269781	12.04626656	-5.845768484	0.000560203	0.01429976	0.010662936
ACP1	11717156_s_at	-0.56802876	10.41704729	-5.77981973	0.000600303	0.01489324	-0.063034697
CDC20	11717163_s_at	-1.0312621	9.309572166	-10.87809268	9.62E-06	0.00162782	4.235652438
TXNIP	11717190_s_at	0.876499156	8.511113575	6.147000557	0.000411274	0.012160106	0.339772355
CDR2	11717228_at	-0.678680265	6.791344612	-6.358593284	0.000333151	0.010702689	0.56375895
RBBP4	11717240_at	-0.751092237	7.265979158	-7.692033161	9.85E-05	0.005394539	1.850411783
CCDC142 /// MRPL53	11717260_at	0.476449751	10.70322192	5.085572024	0.001286098	0.022572156	-0.876248405
ATPAF1	11717263_s_at	-1.173848821	6.471613331	-9.338268519	2.72E-05	0.002717098	3.186141856
COL5A1	11717272_at	-1.003441495	5.862096582	-8.100098823	7.02E-05	0.004410909	2.205188427
ASAP1	11717281_a_at	-0.486752128	6.415992361	-5.22354064	0.001099736	0.020815088	-0.709083097
WASL	11717284_a_at	-0.802404361	7.681742619	-6.922084492	0.000194769	0.00788232	1.132758975
LRPPRC	11717296_s_at	-0.780507809	10.17187253	-7.155000373	0.000157532	0.006924567	1.35684567
LRPPRC	11717297_at	-1.286168202	6.075954642	-9.832935982	1.92E-05	0.002324821	3.542114761
C10orf116	11717305_a_at	1.07118526	8.075224444	11.22240057	7.76E-06	0.001439015	4.448249663
C10orf116	11717306_x_at	0.87117557	7.651114142	8.25498821	6.19E-05	0.004097793	2.335530397
IKBKAP	11717312_at	-0.657991019	4.171680799	-6.086308217	0.000437313	0.012482589	0.274442282
TRIM27	11717335_at	-0.599088074	7.239094534	-5.968849187	0.000493096	0.013446713	0.146612138
PTGFRN	11717341_at	0.569146475	7.200804786	5.800108671	0.000587636	0.01469684	-0.040297946
ADD3	11717347_s_at	-0.742803963	5.25289786	-5.025363758	0.001378164	0.023521456	-0.950080101
RPRD1A	11717352_a_at	-0.757651481	7.575203019	-6.114524004	0.000424986	0.012344287	0.304874861
BCL2L12	11717364_a_at	-0.743033985	9.744007529	-6.814412271	0.000215242	0.008304704	1.027023508
ARSD	11717370_at	0.625527791	9.063578871	6.713406851	0.000236661	0.008767602	0.926573998
41163	11717388_x_at	-1.059418879	7.938582491	-6.668465871	0.000246949	0.009013978	0.881482905
FN3KRP	11717392_a_at	-0.840108706	8.359565908	-7.535194044	0.000112689	0.005815045	1.709493558
ARIH2	11717394_at	-0.525405775	8.028377279	-5.381742057	0.000921972	0.018927011	-0.520836466
DDB2	11717397_a_at	-0.509031613	8.468162084	-5.301484799	0.001007813	0.019855093	-0.615880377
RHOU	11717416_a_at	0.574003157	6.832183255	5.453094336	0.00085243	0.0180504	-0.437120529
VPS24	11717426_a_at	-0.494234266	9.196502549	-5.141763748	0.001206279	0.021974522	-0.807826634
CDCA7L	11717436_a_at	-0.521584622	6.167680411	-5.081337541	0.001292346	0.022629901	-0.881423449
ANXA1	11717514_a_at	-0.567892265	3.273925146	-5.401606047	0.000902	0.018671891	-0.497456788
EFHD1	11717516_s_at	0.728454813	10.45660489	7.555956598	0.000110689	0.005797402	1.728298141
DTX3L	11717562_x_at	0.664510211	6.143328408	5.394140359	0.00090945	0.018781493	-0.506237127
PPP1R3C	11717575_at	1.059658777	8.415541586	10.7038683	1.07E-05	0.001721985	4.125202791
EXOSC8	11717589_a_at	-0.463402387	9.099085059	-4.963339837	0.001480688	0.024551635	-1.026702026
ELF3	11717595_s_at	-1.162980872	7.540857356	-10.68639353	1.09E-05	0.001727848	4.114015388
KLHDC8B	11717613_a_at	0.547291775	7.264743865	5.612682818	0.000717018	0.016531235	-0.252517068
EPHA2	11717619_at	-0.647218408	5.94031959	-5.815266805	0.000578366	0.014596344	-0.023348126
MLH1	11717635_a_at	-0.809514819	8.515220872	-7.061668462	0.0001714	0.007313327	1.267803959
CSTF3	11717642_a_at	-0.544960084	8.395009898	-5.155589007	0.001187491	0.021768474	-0.791063827
C10orf119	11717646_a_at	-0.688537151	9.217854032	-6.141667985	0.000413491	0.012186395	0.334051836
C10orf119	11717647_at	-0.79385923	9.620215875	-8.27846687	6.08E-05	0.004074589	2.355086941
C10orf119	11717648_x_at	-0.861988837	8.356695559	-8.82941279	3.96E-05	0.003274859	2.799367541
EZH2	11717657_a_at	-1.049869141	8.18404735	-9.407650658	2.59E-05	0.002657646	3.237225463
RNF19A	11717689_a_at	0.666501018	6.908958416	5.52846286	0.000785232	0.017342739	-0.349486224
CEBPG	11717693_at	-0.614562538	8.694056545	-6.212275388	0.000385183	0.011768299	0.409492704
RB1	11717702_a_at	-0.893831755	6.785970732	-5.730492632	0.000632387	0.015441538	-0.118550927
MTFP1 /// SEC14L2	11717711_s_at	-0.487783386	7.258031736	-5.226073067	0.001096608	0.020771758	-0.706040943
ST6GAL1	11717721_s_at	-0.640020975	5.568115879	-5.190047725	0.001142058	0.021362878	-0.74940601
HN1	11717727_s_at	-1.045823166	8.669413127	-9.678892884	2.13E-05	0.002404964	3.433287612
ACOT7	11717743_a_at	-0.713170905	8.513392235	-7.184811457	0.000153371	0.006820413	1.385077327
SEC14L1	11717754_a_at	0.64362522	8.474632251	6.28571264	0.000358015	0.011222254	0.487265598
RALA	11717756_s_at	-0.793140421	9.33973025	-7.247948181	0.00014496	0.006583185	1.444537963
THRA	11717773_a_at	0.769714275	7.613259332	7.311292264	0.000137037	0.006368692	1.503745631
PLEKHB1	11717774_a_at	1.08940488	6.097361246	8.819517559	3.99E-05	0.003279943	2.791628328
PHF5A	11717783_x_at	-0.510196869	9.305491852	-5.199585912	0.001129825	0.021182078	-0.737905981
ZER1	11717797_at	0.699661795	6.96106966	7.51049101	0.000115121	0.005868079	1.687060028
ATF5	11717801_a_at	-0.604820048	7.241418442	-5.814617867	0.00057876	0.014596344	-0.024073118
ATF5	11717802_s_at	-0.695509371	7.376774644	-6.833374161	0.000211468	0.008222012	1.045744337
NTN4	11717803_a_at	-0.686769982	4.650087921	-5.9143293	0.000521649	0.013774156	0.086646544
TSC22D3	11717830_a_at	0.618095779	8.639077054	5.637858273	0.000697925	0.016348226	-0.223725366
SRSF4	11717838_a_at	-0.599146264	9.177276287	-6.407583255	0.000317523	0.010380317	0.614794576
PSMG1	11717856_a_at	-0.551299282	10.51821105	-5.242459067	0.001076601	0.020597739	-0.686379488
PSME4	11717865_at	-0.788168743	6.453755435	-7.866798648	8.51E-05	0.004971299	2.004416813
ZHX3	11717884_a_at	-0.544507865	6.541358056	-5.561216961	0.000757881	0.016996524	-0.311654239
ZNF828	11717888_s_at	-0.870885967	7.020181381	-6.408934877	0.000317104	0.010373458	0.6161983
ASF1B	11717900_at	-1.475689048	7.4981984	-13.31098006	2.38E-06	0.000864165	5.594239557
CKMT1A /// CKMT1B	11717916_s_at	0.638435667	8.306244332	6.720581871	0.000235063	0.008747695	0.933750217
EIF2B1	11717942_at	-0.564061305	8.000198732	-5.678737156	0.000668116	0.015941294	-0.177164496
TCF3	11717959_a_at	-1.255192007	8.07696611	-10.13990523	1.56E-05	0.002082429	3.753733036
C15orf17	11717974_x_at	0.505251747	7.33186268	5.306529571	0.001002164	0.01980124	-0.609878587
METTL3	11717975_a_at	-0.63413785	8.541588167	-6.604049542	0.000262581	0.009303095	0.81642
NUP205	11717996_a_at	-0.885689955	9.71242075	-8.687348066	4.41E-05	0.00344949	2.687431889
NUP205	11717997_at	-0.866276786	7.964123457	-6.553527909	0.000275616	0.009564206	0.765032783
MYLIP	11718006_a_at	0.483433599	9.966271431	5.040157374	0.001354886	0.023250089	-0.931889225
SNRPE	11718041_at	-1.12151431	4.697248087	-11.64342356	6.02E-06	0.00121149	4.698411797
GLRX	11718048_a_at	0.74872	4.628454814	5.904773206	0.000526841	0.01386283	0.076094352
TYMS	11718058_a_at	-1.605429943	10.22303334	-15.51797823	8.10E-07	0.000649421	6.58542057
NME3	11718062_a_at	0.465582685	10.58213881	4.995982369	0.001425718	0.024010179	-0.986305277
IPO5	11718105_s_at	-0.714604644	5.00176726	-5.5284985	0.000785202	0.017342739	-0.349444975
IPO5	11718106_s_at	-1.063048452	7.982543533	-8.710588538	4.33E-05	0.003399286	2.705865497
DLD	11718111_at	-1.024275115	6.287122656	-7.317467353	0.000136291	0.006351916	1.509493631
SF3A3	11718112_at	-0.802422539	8.019848646	-7.75209135	9.36E-05	0.005237564	1.903690505
AIMP1	11718123_at	-1.097152645	5.804962106	-10.88435695	9.58E-06	0.00162782	4.239587144
AIMP1	11718125_a_at	-1.115403192	8.233838659	-9.099307639	3.24E-05	0.002970828	3.007210248
AIMP1	11718126_s_at	-1.161304038	7.729616949	-5.340958157	0.000964535	0.019347105	-0.569017581
TK1	11718127_at	-1.664695847	9.545821385	-16.04606891	6.39E-07	0.000629126	6.795208241
TK1	11718128_x_at	-1.7683982	9.20543091	-19.00051108	1.93E-07	0.000579569	7.811384006
PRPS2	11718135_at	-0.914459925	9.332534127	-8.717641498	4.31E-05	0.003391724	2.711450189
EMP3	11718140_a_at	0.701644515	4.916466582	5.056170563	0.001330178	0.022987831	-0.912235359
DKK1	11718141_at	-0.795459647	10.98387832	-8.108112666	6.97E-05	0.004407481	2.211989249
LOC81691	11718143_a_at	-0.701319316	6.154005205	-5.791978176	0.000592676	0.014785539	-0.049402533
C2orf7	11718150_at	-0.593472165	7.855388263	-6.20279058	0.000388857	0.0118222	0.399396654
NMI	11718158_a_at	0.588695117	6.989556561	5.963867139	0.000495631	0.013478725	0.141149179
NMI	11718159_at	0.527001024	7.204300495	5.135738972	0.001214569	0.022054295	-0.815140359
CDCA5	11718183_at	-1.927897638	8.991017168	-19.06441953	1.89E-07	0.000579569	7.830766142
TOE1	11718206_x_at	-0.545627701	8.00208165	-5.644417942	0.000693044	0.016316173	-0.216238116
