Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol
PYHIN1	1.910113704	1.172896409	5.088474064	0.001488909	0.999932036	-4.485889845	PYHIN1
TREM1	-2.871590196	3.292413634	-5.076568946	0.001508547	0.999932036	-4.486020339	TREM1
NCLN	2.108128613	3.659119478	5.073168355	0.00151421	0.999932036	-4.486057734	NCLN
GRIA2	2.914446143	0.461054951	5.061961732	0.001533038	0.999932036	-4.48618135	GRIA2
ELOVL6	-1.942968693	6.252763563	-5.058303617	0.00153924	0.999932036	-4.486221828	ELOVL6
HIST1H4A	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	HIST1H4A /// HIST1H4B /// HIST1H4C /// HIST1H4D /// HIST1H4E /// HIST1H4F /// HIST1H4H /// HIST1H4I /// HIST1H4J /// HIST1H4K /// HIST1H4L /// HIST2H4A /// HIST2H4B /// HIST4H4
HIST1H4B	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST1H4C	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST1H4D	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST1H4E	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST1H4F	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST1H4H	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST1H4I	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST1H4J	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST1H4K	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST1H4L	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST2H4A	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST2H4B	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
HIST4H4	2.041869728	3.145414668	5.049619733	0.001554075	0.999932036	-4.486318168	
NA	1.841809726	3.133789235	5.026025478	0.001595193	0.999932036	-4.486581721	NA
BC041448	-3.172034689	1.692556656	-5.02003724	0.00160582	0.999932036	-4.486649031	BC041448 /// RP11-422J15.1
RP11-422J15.1	-3.172034689	1.692556656	-5.02003724	0.00160582	0.999932036	-4.486649031	
SAMD3	-2.255997497	2.48384964	-5.009510891	0.001624693	0.999932036	-4.486767765	SAMD3
NA	2.003750308	2.502991399	4.990033869	0.001660267	0.999932036	-4.486988864	NA
NA	1.924645492	3.758041318	4.986805726	0.001666247	0.999932036	-4.487025686	NA
NA	-2.364690418	4.163652318	-4.968816831	0.001700008	0.999932036	-4.487231804	NA
FBXO36	2.356358275	3.884665782	4.959239072	0.001718294	0.999932036	-4.487342192	FBXO36
CT55	2.030899841	3.35167496	4.956472831	0.001723616	0.999932036	-4.487374158	CT55
RGS22	-1.714255753	4.025292302	-4.93946422	0.001756743	0.999932036	-4.487571535	RGS22
NA	-2.825236034	2.849398057	-4.934656841	0.001766234	0.999932036	-4.487627582	NA
ARHGAP4	-2.151297799	4.297371865	-4.91659246	0.00180241	0.999932036	-4.487839216	ARHGAP4
LINC00911	-2.27339993	3.95880704	-4.911421395	0.001812917	0.999932036	-4.487900099	LINC00911
FAM83C	-1.985686287	2.916919405	-4.89424201	0.001848315	0.999932036	-4.488103333	FAM83C
NA	2.192685197	2.692988555	4.87535857	0.001888112	0.999932036	-4.488328454	NA
NA	2.494389272	2.475168296	4.844362041	0.001955517	0.999932036	-4.488701952	NA
CDC25A	-1.834846613	5.027303104	-4.837664855	0.001970429	0.999932036	-4.488783305	CDC25A
NEUROG3	2.89682764	3.003620541	4.814288297	0.002023477	0.999932036	-4.489069107	NEUROG3
LYPD5	3.335834167	3.417428695	4.779677635	0.002104953	0.999932036	-4.489497565	LYPD5
CCAR2	-2.295409281	3.753365848	-4.776817807	0.002111847	0.999932036	-4.489533255	CCAR2
MBTPS2	-1.735967305	3.551747161	-4.76253014	0.002146663	0.999932036	-4.489712217	MBTPS2
PTCD3	-2.995244636	3.875422026	-4.748037918	0.002182629	0.999932036	-4.489894872	PTCD3
NA	2	0.508689604	4.745690667	0.002188517	0.999932036	-4.489924563	NA
NPAT	2.412455403	3.40419155	4.731841108	0.002223619	0.999932036	-4.490100367	NPAT
PRLR	2.300463872	2.031978773	4.730314943	0.002227525	0.999932036	-4.490119804	PRLR
RNF11B	-2.308342939	1.871674119	-4.72517448	0.002240737	0.999932036	-4.490185367	RNF11B
SPATA13	-2.031718214	2.357535372	-4.723223309	0.002245775	0.999932036	-4.490210291	SPATA13
NA	-2.253275517	1.88695653	-4.69012657	0.00233317	0.999932036	-4.490636284	NA
LINC01088	2.863119517	1.442964997	4.681478084	0.002356624	0.999932036	-4.490748609	LINC01088
VRK3	2.544794373	3.99093136	4.640892674	0.002470232	0.999932036	-4.491281388	VRK3
LOC151121	3.537323407	2.592304123	4.631187078	0.00249829	0.999932036	-4.491410193	LOC151121
CCDC168	-2.891576533	2.355022491	-4.622810583	0.00252279	0.999932036	-4.491521797	CCDC168
LOC100505658	2.847794466	2.428979824	4.622363525	0.002524105	0.999932036	-4.491527765	LOC100505658
GBAP1	2.386141456	3.319166123	4.616995868	0.002539953	0.999932036	-4.491599509	GBAP1 /// LOC100510710
LOC100510710	2.386141456	3.319166123	4.616995868	0.002539953	0.999932036	-4.491599509	
NA	4.187950559	1.162022185	4.586497751	0.002632118	0.999932036	-4.492010339	NA
ESCO2	-2.51990476	2.695761888	-4.581625368	0.002647182	0.999932036	-4.49207648	ESCO2
NAV3	-2.692949077	3.169335644	-4.540614075	0.002777826	0.999932036	-4.492638799	NAV3
THRAP3	-2.293990855	5.156410728	-4.536696953	0.002790673	0.999932036	-4.492693036	THRAP3
CBY3	1.466849089	4.045204187	4.530676147	0.002810547	0.999932036	-4.492776583	CBY3
VWA8-AS1	-2.927515738	2.146968125	-4.527248021	0.002821933	0.999932036	-4.49282425	VWA8-AS1
CDC20B	-2.596511215	1.140278545	-4.521970966	0.002839559	0.999932036	-4.492897767	CDC20B
NA	-2.552652129	1.859146475	-4.509133629	0.002882949	0.999932036	-4.493077319	NA
SOGA1	2.052339813	3.408062391	4.500972133	0.002910915	0.999932036	-4.493191996	SOGA1
NA	-2.268520547	2.875594165	-4.498313065	0.002920091	0.999932036	-4.493229448	NA
RAB20	-1.838749917	2.827682649	-4.494644546	0.002932804	0.999932036	-4.493281188	RAB20
LOC100506282	-2.003871444	3.197924051	-4.485166339	0.002965932	0.999932036	-4.493415252	LOC100506282
NA	2.19859905	2.448129878	4.468036817	0.003026857	0.999932036	-4.493658956	NA
TBX1	2.158462832	2.57779647	4.462159711	0.003048077	0.999932036	-4.493742993	TBX1
KIR2DL5A	1.951898372	4.766349003	4.462150463	0.003048111	0.999932036	-4.493743125	KIR2DL5A
NA	-1.781389325	4.684551325	-4.461662073	0.003049882	0.999932036	-4.493750118	NA
NA	1.657772279	3.193659651	4.459808975	0.003056611	0.999932036	-4.493776667	NA
CELF5	2.466606235	2.793598758	4.454244826	0.003076916	0.999932036	-4.49385651	CELF5
LINC00408	2.863198496	1.489095087	4.447914447	0.003100198	0.999932036	-4.493947586	LINC00408
NA	-1.729179711	5.38633816	-4.442921952	0.003118697	0.999932036	-4.494019592	NA
CD200R1	1.808919356	1.529981698	4.43882648	0.003133963	0.999932036	-4.494078779	CD200R1
NA	-1.637230527	3.214564233	-4.43826766	0.003136053	0.999932036	-4.494086863	NA
CXXC4	-1.758887803	3.566817806	-4.437601979	0.003138544	0.999932036	-4.494096496	CXXC4
NA	1.934477552	3.514998442	4.433466105	0.003154069	0.999932036	-4.494156406	NA
CD247	1.752043476	2.912238372	4.428421611	0.00317312	0.999932036	-4.494229626	CD247
LOC100130476	2.138676007	2.306649789	4.42026622	0.003204189	0.999932036	-4.494348343	LOC100130476
NA	-2.158861503	3.297165206	-4.41883594	0.003209673	0.999932036	-4.494369208	NA
NA	-1.764244722	3.807163358	-4.414872799	0.003224921	0.999932036	-4.494427089	NA
NA	-1.79911637	1.834793247	-4.405453562	0.003261483	0.999932036	-4.494565061	NA
FCHO1	-2.242353682	3.714009413	-4.380597305	0.00336018	0.999932036	-4.494931906	FCHO1
PLCB4	-2.079522222	2.99677947	-4.377696737	0.003371911	0.999932036	-4.494974977	PLCB4
MACROD2	1.94981598	2.686780307	4.375802337	0.003379596	0.999932036	-4.495003136	MACROD2
TP53AIP1	2.122801444	2.255104114	4.375722953	0.003379919	0.999932036	-4.495004317	TP53AIP1
NA	2.61116065	2.218070475	4.369731106	0.003404358	0.999932036	-4.495093541	NA
NA	-1.866715188	2.40527715	-4.353443485	0.003471782	0.999932036	-4.495337272	NA
CLCNKB	2.565621578	3.974890257	4.337612431	0.003538729	0.999932036	-4.495575853	CLCNKB
ODF4	3.210039785	2.567008145	4.325215926	0.003592146	0.999932036	-4.495763839	ODF4
ZNF93	2.102770753	2.168217792	4.320012174	0.003614833	0.999932036	-4.495843057	ZNF93
RALGPS2	-1.637179199	7.005912938	-4.318620793	0.003620926	0.999932036	-4.495864269	RALGPS2
NA	-2.755581056	0.640824934	-4.317952553	0.003623856	0.999932036	-4.495874462	NA
CRB1	1.7860758	3.532549672	4.297105951	0.003716594	0.999932036	-4.496193936	CRB1
PLAUR	1.896692117	8.843138898	4.292819539	0.003735984	0.999932036	-4.496259991	PLAUR
PIK3R4	-2.25763541	2.579266252	-4.268924646	0.003846142	0.999932036	-4.496630516	PIK3R4
SYNPO2L	2.332590427	2.17333666	4.268869452	0.0038464	0.999932036	-4.496631376	SYNPO2L
NA	-2.196283671	2.546701913	-4.265382033	0.003862776	0.999932036	-4.496685782	NA
LOC101928847	1.701123803	3.621749672	4.263950212	0.003869521	0.999932036	-4.496708144	LOC101928847
CASD1	2.034429269	2.633213604	4.263633537	0.003871015	0.999932036	-4.496713092	CASD1
STC1	1.984597584	6.734960256	4.25782958	0.003898502	0.999932036	-4.496803895	STC1
PCSK6	2.655928879	2.119319679	4.257439849	0.003900356	0.999932036	-4.49681	PCSK6
RTP1	1.908297587	0.022195699	4.256807256	0.003903366	0.999932036	-4.496819913	RTP1
NA	-1.896431931	3.647577544	-4.255138709	0.003911319	0.999932036	-4.496846072	NA
SFXN2	-1.68097435	3.563100375	-4.244651025	0.003961718	0.999932036	-4.497010939	SFXN2
RP11-91I8.1	2.537890985	3.677396179	4.240069625	0.003983957	0.999932036	-4.4970832	RP11-91I8.1
ICOSLG	-1.4943146	4.553834737	-4.238343717	0.003992371	0.999932036	-4.49711046	ICOSLG
SPOCK3	3.09596331	1.566842831	4.233601205	0.004015592	0.999932036	-4.497185473	SPOCK3
DPP10	1.595532121	3.671294864	4.229478792	0.004035897	0.999932036	-4.497250805	DPP10
FRK	3.222392421	0.540897283	4.226143612	0.004052407	0.999932036	-4.497303749	FRK
RGS4	-1.486267543	8.81256462	-4.216171209	0.004102218	0.999932036	-4.497462521	RGS4
CD244	-1.77604276	2.6135022	-4.213836516	0.004113977	0.999932036	-4.497499794	CD244
NA	-1.890428797	4.989015611	-4.204610576	0.004160808	0.999932036	-4.497647459	NA
IQCA1	-2.6609198	2.296335792	-4.20358079	0.004166071	0.999932036	-4.497663979	IQCA1
PLA2G4C	2.223785823	2.998553454	4.202588782	0.004171148	0.999932036	-4.4976799	PLA2G4C
LOC642236	-1.888097982	2.203732175	-4.202216076	0.004173058	0.999932036	-4.497685883	LOC642236
C7orf34	2.009331663	3.5447831	4.192654657	0.00422237	0.999932036	-4.497839719	C7orf34
MIR210HG	-1.992433732	4.252277204	-4.182083894	0.004277634	0.999932036	-4.498010554	MIR210HG
NA	-2.059687781	2.513866634	-4.182036679	0.004277883	0.999932036	-4.498011319	NA
HOXA13	2.738948683	1.410475659	4.175528363	0.004312306	0.999932036	-4.498116902	HOXA13
RP11-1081M5.2	-2.053922978	3.622787547	-4.174321119	0.004318725	0.999932036	-4.49813652	RP11-1081M5.2
CFTR	-2.618880334	1.718276343	-4.17052931	0.004338953	0.999932036	-4.498198207	CFTR
GNAL	-1.861006689	2.903298756	-4.168043457	0.004352271	0.999932036	-4.498238704	GNAL
NA	-1.938008332	2.260734261	-4.163208596	0.004378303	0.999932036	-4.498317597	NA
PLAU	1.836748096	8.57917024	4.159923271	0.00439609	0.999932036	-4.498371302	PLAU
NA	-1.536673673	3.740296629	-4.15713737	0.004411235	0.999932036	-4.498416904	NA
ITPKB	1.417196756	9.120607852	4.155011099	0.004422832	0.999932036	-4.498451747	ITPKB
NA	1.447237332	2.180270325	4.154051494	0.004428077	0.999932036	-4.498467483	NA
CDC42BPA	-1.550611666	2.894958775	-4.152173664	0.004438361	0.999932036	-4.498498295	CDC42BPA
NA	1.785850668	1.094282442	4.146924382	0.004467247	0.999932036	-4.498584563	NA
STC1	1.961055609	6.797293911	4.142639486	0.00449098	0.999932036	-4.498655131	STC1
SQSTM1	1.590053369	8.249931266	4.135902405	0.004528575	0.999932036	-4.498766356	SQSTM1
RALGPS2	-1.842182567	6.407700821	-4.132325721	0.004548674	0.999932036	-4.49882554	RALGPS2
LOC286382	-1.848987781	2.886482143	-4.127030201	0.004578613	0.999932036	-4.498913338	LOC286382
LAMC3	-1.515337766	4.26747256	-4.120260713	0.0046172	0.999932036	-4.499025875	LAMC3
MAGEA1	1.694407673	3.479092556	4.118334749	0.004628243	0.999932036	-4.499057955	MAGEA1
UBASH3B	-1.702306736	6.115177189	-4.117014737	0.004635829	0.999932036	-4.499079957	UBASH3B
LOC101929528	-2.101727879	2.695230764	-4.116022119	0.004641542	0.999932036	-4.499096511	LOC101929528
KRT8P17	2.367123162	2.012895171	4.113386895	0.004656748	0.999932036	-4.499140493	KRT8P17 /// KRT8P17
BC048420	2.025549439	2.079986007	4.107477041	0.004691047	0.999932036	-4.499239317	BC048420
LINC00642	2.123484876	4.415443714	4.106026352	0.004699508	0.999932036	-4.499263615	LINC00642
SLAMF9	1.798772622	4.602111914	4.104700753	0.004707255	0.999932036	-4.499285832	SLAMF9
PCSK2	1.595160914	1.52472067	4.100665228	0.004730925	0.999932036	-4.499353546	PCSK2
MAP3K1	-2.172522642	3.51492906	-4.08940214	0.00479768	0.999932036	-4.499543179	MAP3K1
LINC00487	2.275455514	3.265571592	4.087650613	0.004808154	0.999932036	-4.499572754	LINC00487
MYH8	1.490193558	4.099671456	4.083540166	0.004832833	0.999932036	-4.49964225	MYH8
FGD2	2.730421435	5.185499185	4.079711213	0.004855946	0.999932036	-4.499707102	FGD2
ARHGEF34P	2.272316233	3.612138561	4.078145953	0.004865429	0.999932036	-4.499733645	ARHGEF34P /// OR2A4 /// OR2A7
OR2A4	2.272316233	3.612138561	4.078145953	0.004865429	0.999932036	-4.499733645	
OR2A7	2.272316233	3.612138561	4.078145953	0.004865429	0.999932036	-4.499733645	
LOC374890	1.641680573	4.473014074	4.075309628	0.004882666	0.999932036	-4.499781788	LOC374890
LINC00663	2.13103204	3.169083906	4.071406924	0.004906492	0.999932036	-4.499848132	LINC00663
NECAB1	1.99301346	1.298033542	4.069966204	0.00491532	0.999932036	-4.499872653	NECAB1
VWC2	2.834140779	2.288247607	4.068262184	0.004925784	0.999932036	-4.499901675	VWC2
RRN3P1	-1.788636627	4.512278667	-4.057911596	0.004989871	0.999932036	-4.500078434	RRN3P1
IMPAD1	2.141296519	3.031023659	4.055935804	0.005002208	0.999932036	-4.500112267	IMPAD1
CHKB-AS1	1.408224547	4.042625773	4.048838309	0.005046802	0.999932036	-4.50023405	CHKB-AS1
WIF1	1.774323022	2.991383236	4.046459874	0.005061843	0.999932036	-4.500274946	WIF1
NA	-1.721037006	3.984237856	-4.045049453	0.005070786	0.999932036	-4.500299219	NA
EIF5B	-2.310209691	3.372083794	-4.037699657	0.005117668	0.999932036	-4.500425949	EIF5B
ZFYVE16	2.633941111	2.89424886	4.036905657	0.005122761	0.999932036	-4.500439665	ZFYVE16
ZFAND6	-2.944658113	2.20829334	-4.036217618	0.005127179	0.999932036	-4.500451554	ZFAND6
NA	1.83247726	3.582373385	4.033148981	0.005146934	0.999932036	-4.500504623	NA
B3GALNT2	1.675455546	3.960505054	4.028075221	0.005179779	0.999932036	-4.500592528	B3GALNT2
MUC4	2.285730821	2.90466615	4.027987944	0.005180346	0.999932036	-4.500594042	MUC4
ARSI	1.843035992	2.214753251	4.026603474	0.00518935	0.999932036	-4.500618064	ARSI
AFF3	1.528449005	3.002498662	4.026593532	0.005189415	0.999932036	-4.500618236	AFF3
NA	-1.720688926	1.607115906	-4.025302345	0.005197827	0.999932036	-4.500640653	NA
NA	-2.035201941	1.778117602	-4.013760275	0.005273695	0.999932036	-4.500841611	NA
NA	-2.364333675	1.354171886	-4.013237004	0.005277163	0.999932036	-4.500850746	NA
NA	2.151017466	3.017267676	4.012523936	0.005281893	0.999932036	-4.500863198	NA
MGST1	-2.236337597	3.757630876	-4.011545981	0.005288388	0.999932036	-4.500880282	MGST1
LOC101927027	2.077493831	3.079748234	3.996118871	0.005392009	0.999932036	-4.501150764	LOC101927027
B4GALT3	2.15975102	2.759061488	3.995776955	0.00539433	0.999932036	-4.50115678	B4GALT3
OPA3	2.62880674	3.771444437	3.995640866	0.005395255	0.999932036	-4.501159175	OPA3
CHRNA4	2.998638765	2.34134232	3.995410639	0.005396819	0.999932036	-4.501163226	CHRNA4
LOC729296	1.836242305	1.455965037	3.994897555	0.005400307	0.999932036	-4.501172257	LOC729296
NEXN	-2.178881377	6.494821754	-3.989840948	0.005434811	0.999932036	-4.501261367	NEXN
NA	-2.749117245	3.683541372	-3.989385467	0.005437931	0.999932036	-4.501269403	NA
NA	1.848379097	3.746996349	3.976107312	0.00552975	0.999932036	-4.501504401	NA
PDLIM4	2.050050651	4.71962391	3.97383255	0.005545649	0.999932036	-4.501544799	PDLIM4
ALK	1.946892275	4.11512881	3.971661517	0.005560871	0.999932036	-4.501583393	ALK
NA	2.263267677	2.800250197	3.969213956	0.005578086	0.999932036	-4.501626948	NA
GJB2	-2.490176696	1.861087317	-3.963204425	0.005620602	0.999932036	-4.50173409	GJB2
LINC00982	-2.233896016	1.960304922	-3.955940196	0.005672469	0.999932036	-4.501863985	LINC00982
NA	1.741512899	3.594440339	3.945805311	0.005745709	0.999932036	-4.502045913	NA
CRISP2	2.219308591	2.889604296	3.939736068	0.005790064	0.999932036	-4.502155254	CRISP2
AJUBA	-1.918650798	6.211287417	-3.934315933	0.005829992	0.999932036	-4.50225315	AJUBA
DYNC1H1	1.698443294	4.595538455	3.933025171	0.005839545	0.999932036	-4.502276498	DYNC1H1
DEFB124	2.677659574	5.413015873	3.9300408	0.005861698	0.999932036	-4.502330533	DEFB124
TM4SF18	-1.766309856	8.215981108	-3.929840705	0.005863186	0.999932036	-4.502334158	TM4SF18
CTDSPL	-1.608893912	3.982706136	-3.92931111	0.005867128	0.999932036	-4.502343755	CTDSPL
NA	2.280434823	3.098614173	3.928679152	0.005871836	0.999932036	-4.50235521	NA
RP11-112L7.1	-2.65225037	1.721414033	-3.921675331	0.005924285	0.999932036	-4.502482379	RP11-112L7.1
EBF3	1.80152244	4.843006541	3.920139472	0.005935855	0.999932036	-4.502510319	EBF3
