Symbol	logFC	logCPM	PValue	FDR
BCAR1	0.3426511	6.805945843	0.012354763	0.089511787
HERPUD1	0.507820138	6.920029527	7.92E-07	2.74E-05
MPHOSPH9	-0.391018558	5.897673227	0.010520732	0.079843703
PRSS8	0.691253809	6.554082652	6.12E-09	3.40E-07
MSMO1	0.589393357	6.769044223	1.74E-07	7.11E-06
LAMA3	1.028498213	6.642670403	1.39E-17	3.42E-15
EIF2AK2	-0.681471179	8.456463795	1.54E-11	1.42E-09
IL17RB	-0.704843533	3.506413526	2.03E-05	0.000508907
GYG2	-0.88233053	0.983203468	0.002593518	0.028013926
DCBLD2	0.984512448	10.03777212	9.68E-24	5.79E-21
SOAT1	-0.701083422	3.740598077	1.95E-06	6.25E-05
PRDM1	0.673532099	2.40986654	0.003967833	0.039261264
TMCC3	-0.682290048	4.011203454	1.79E-07	7.26E-06
USP13	-0.506092939	4.853099874	6.27E-05	0.001337318
LAMC2	1.247269654	6.573113433	5.24E-35	1.80E-31
ATP2B4	0.481887726	6.293964104	0.000349807	0.005744024
DGKG	1.511416324	0.538928028	5.82E-05	0.001263043
TBXAS1	-0.488986125	4.092418237	0.000366354	0.005972913
PARP12	-0.394515887	5.85681694	0.008948144	0.070902483
GNA15	0.635480587	4.168054814	6.22E-05	0.001332328
RIMBP2	0.753215348	1.180742598	0.005839671	0.051482004
VMP1	0.40617123	7.789402057	2.20E-06	7.03E-05
GPC1	0.395073512	4.733726544	0.000929177	0.012656699
TMEM161A	0.387318501	3.203096666	0.011914808	0.087198917
SLC12A2	-0.59402985	9.825512885	3.55E-05	0.000833594
AP3D1	0.262613698	7.619414796	0.003973808	0.03926385
SLC9A3R2	0.354482436	6.946622129	0.00243272	0.026657536
ANKRD44	-0.496387161	2.162057283	0.014803623	0.101812465
TBC1D22B	0.319757806	4.84488318	0.004290861	0.041168587
GSTO2	-0.496300082	4.760284745	4.56E-05	0.001024932
SEC61A2	0.411562068	2.950960433	0.01374092	0.09694826
FAM107B	0.559511304	7.024943084	4.42E-08	2.05E-06
MTHFD2	0.77486961	8.165532731	6.64E-12	6.97E-10
PDE4A	-0.599419596	2.34691769	0.002435148	0.026657536
ASPM	-0.487398366	7.480555031	0.002422669	0.026637732
ELOVL1	0.420955465	7.000611383	0.001570967	0.01931249
CLDN18	1.819697591	0.785888511	4.43E-07	1.62E-05
MSANTD3	0.386430086	4.878192468	0.002623709	0.028216158
PFKP	0.628524983	7.442980029	5.20E-12	5.59E-10
IDI1	0.550967287	7.614294174	5.57E-06	0.000161933
KLF6	0.641302234	8.483955144	5.83E-14	8.09E-12
PLPP1	-0.383878488	4.069651071	0.006790593	0.057504567
TRAM1	0.333621943	8.294828955	0.002007326	0.023087258
PHKA1	0.431332515	5.203585451	0.000748736	0.010620547
TNFRSF1A	0.279373543	6.143832306	0.006510889	0.055971673
PMS2P4	-1.122171966	0.883190578	0.000156521	0.002895321
HYAL2	0.445422558	4.026021496	0.002908171	0.030675287
HEATR6	0.358988679	4.24400008	0.004566981	0.043258847
TFE3	0.337538544	6.490241713	0.000562471	0.008467246
TTC7A	0.496229205	5.276554613	7.60E-06	0.000213116
PPP2R5B	0.6146446	3.765168069	0.000167462	0.003076993
PITX1	0.458305481	4.395967691	0.000930381	0.012660552
TGFBR3	-0.489407092	3.858438354	0.000614198	0.009106291
MAPK6	0.401904713	7.386053663	1.23E-05	0.000324039
DAPP1	0.369118788	4.17568278	0.007499273	0.0620031
FSTL3	0.629251021	2.294041123	0.00182786	0.021675676
ST6GALNAC1	-0.670819139	1.12348976	0.012132345	0.088413015
WIPI1	0.644507218	4.78521463	1.31E-07	5.51E-06
NDST1	-0.406273483	5.021377639	0.004232359	0.040859048
ASNS	1.17926448	7.608662399	8.15E-20	2.80E-17
PTPN21	0.396589967	4.229691767	0.006696914	0.056886522
MAP4K4	0.3156815	7.090400333	0.006540901	0.056151242
WDR1	0.287670914	8.519193723	0.001230535	0.015925112
ATP6AP1	0.337923873	7.11391095	0.001351427	0.017134703
TRIB2	1.268021145	1.537602139	3.37E-06	0.000103243
FAM50A	0.304328262	6.565969946	0.001998148	0.023026096
RDH11	0.448107284	6.644270484	0.000228523	0.003985816
ACTN1	0.307798468	7.77830504	0.00071067	0.010216994
RPS6KA6	-0.424422082	4.097538671	0.003656957	0.036929623
SPEG	-0.883085102	2.064898911	3.06E-05	0.00072697
UBE2D1	0.359118984	4.675847555	0.003148439	0.032658225
P4HA2	0.624713224	5.771909084	4.04E-07	1.50E-05
STK10	0.333844121	5.654365624	0.001290075	0.016463125
SIDT1	-0.86975053	1.850487134	0.000797153	0.011179663
PVR	0.470825439	7.507266051	5.08E-08	2.32E-06
PANX2	0.506752927	3.25188668	0.001490518	0.018472213
NLE1	-0.246993114	5.604277533	0.012657471	0.091080773
GSDMB	-0.470606372	4.734394231	0.00777508	0.063638759
DHRS9	1.127639225	4.209865482	7.81E-17	1.73E-14
FRY	-0.619096347	7.256281666	0.00513509	0.047176919
PICALM	0.303187539	8.635136383	0.000401654	0.00647167
TSG101	0.372285247	6.914399524	0.00192269	0.022378486
MGLL	0.268814996	7.944429463	0.002740764	0.029246162
NTN4	1.041737745	5.718945639	7.73E-21	2.87E-18
TUBE1	0.529326062	3.738014421	0.000307709	0.005144955
GTSE1	-0.285179289	5.155452302	0.007645509	0.062884424
CELSR1	0.363188682	5.301222629	0.00485566	0.045238206
VPS9D1	0.424379597	3.262110812	0.010403979	0.079001265
ACTB	0.410374155	11.69259289	0.000408664	0.006561532
MOCOS	0.369803361	4.731364786	0.001756779	0.020904907
RAB7A	0.269836814	8.905683962	0.004116247	0.040237342
KIFAP3	0.38630183	4.640582464	0.001314317	0.01669499
UNG	-0.299011127	6.576761357	0.010202329	0.077943754
SLC46A1	-0.374399172	4.476540281	0.003799701	0.038035756
PAG1	-0.612822799	3.406514296	0.001036134	0.013825847
GPC4	-0.656592214	4.054382926	2.15E-07	8.55E-06
MBNL3	-0.707499647	5.953758124	9.83E-05	0.00195853
CTTNBP2	-1.16542872	0.973959656	6.47E-05	0.001376445
NFKB2	0.517284094	5.549386191	1.86E-06	5.99E-05
DNAJC10	0.262363063	8.063233872	0.010050569	0.077041285
GPR137B	0.440964894	3.864855737	0.001744636	0.020796424
JADE1	-0.49961536	5.213309299	1.31E-05	0.000341594
MAP2	0.67227135	2.47120243	0.000743793	0.010604458
GNB1	0.213634749	8.870964183	0.011503768	0.085463672
EDN1	-0.865785489	4.963114597	1.37E-07	5.78E-06
TP53INP2	1.020015646	5.006172132	2.00E-15	3.49E-13
TOLLIP	0.255074708	6.371314843	0.007528307	0.062143578
TNS1	-0.540772691	4.391331638	0.00916587	0.072109742
LIPE	-0.587911408	4.261199368	0.000192369	0.00342921
FDFT1	0.367271537	7.858553508	0.001255621	0.01616486
KIF22	-0.269476967	5.804138654	0.013936453	0.097925672
DNM2	0.265668226	7.76118641	0.005787055	0.051248252
EPB41L2	-0.28327677	5.484225834	0.008237284	0.066635055
PTPRH	0.922606721	7.075893593	1.38E-22	6.31E-20
SLC4A4	-0.360052115	3.978538481	0.007893358	0.064345381
SESN1	-0.341992573	3.997544135	0.010200824	0.077943754
OSTM1	0.421693264	4.20948765	0.002270469	0.025452957
ARG2	0.682442938	2.4605835	0.001866233	0.02191384
MEF2C	1.287940825	0.728327714	6.14E-05	0.001317688
PKP1	-0.966689555	0.573834509	0.002377014	0.026261797
ZNF510	-0.356419644	4.261068523	0.005817658	0.051419863
COBLL1	-0.438043005	6.315672614	0.003256937	0.033530595
TRAF5	-0.346548109	4.952476281	0.004301688	0.041178329
GEMIN5	-0.508154276	5.104062421	1.54E-06	5.01E-05
ITGB5	0.334971573	8.497194963	6.22E-05	0.001332328
RRAGB	-0.529013754	3.061069435	0.003169285	0.032849668
CHMP2B	0.473039536	5.537789946	7.10E-05	0.001497149
RAB10	0.214664681	8.280751454	0.013245714	0.094179559
MAPRE3	0.993215136	4.576173707	1.92E-16	3.94E-14
CAD	-0.409333753	6.638909814	0.000169283	0.003093918
CD59	0.829278718	8.911389378	9.49E-10	6.46E-08
WDR47	0.415703563	3.380580699	0.006101768	0.053246157
B4GALT1	0.267884206	7.409818276	0.003463783	0.035211714
ITPKC	0.522143579	5.18062117	5.25E-06	0.000153606
CEACAM6	1.088197902	6.461637868	4.93E-28	3.98E-25
LAT2	0.885306615	4.153033862	5.35E-09	3.01E-07
PPP1R15A	0.763766612	6.88074317	5.86E-11	5.07E-09
TFAP2C	0.702459431	2.074083175	0.00065824	0.009583529
AURKA	-0.269468042	6.491868623	0.008894182	0.070630149
SULT2B1	0.863742103	5.321661774	3.31E-10	2.44E-08
EPB41L1	0.239772382	7.845667401	0.007391686	0.061310398
ANKRD10	-0.259202319	7.400491165	0.009312549	0.072905701
SMOX	0.476445587	4.705734326	9.58E-05	0.001924773
SLC4A11	0.940487963	3.698502216	4.53E-10	3.27E-08
KIZ	-0.577862173	3.97010177	0.000127306	0.002453599
OAS1	-0.599230972	6.892876744	0.000134529	0.002566966
FUS	-0.267621881	7.930353677	0.005686187	0.050813363
FXYD5	0.53508555	6.056989651	4.41E-06	0.000131615
ICAM1	0.53365741	4.738165569	3.83E-05	0.000888547
TFAP4	-0.338910781	4.543089186	0.009112503	0.071813211
DNAJB11	0.300840936	7.002857109	0.005223896	0.047896748
P3H2	-0.647309567	2.815104613	0.000227587	0.003975338
EFNB1	0.454170266	7.659007192	8.58E-06	0.000237846
AARS	0.4326433	8.116100076	1.64E-07	6.74E-06
PITPNM2	0.410924925	3.103300802	0.010271116	0.078338631
PUS7	-0.293694886	6.046317452	0.006328279	0.05459879
ITGA6	0.266002968	9.302674703	0.013698716	0.096715441
SEL1L3	0.251691546	8.145185434	0.005159575	0.047338586
SUPT16H	-0.2370333	7.476750544	0.013969161	0.098082639
TINF2	0.35549961	4.749156251	0.005454979	0.049487282
WDR76	-0.307820294	5.131946479	0.006262585	0.054270476
EZR	0.501771652	8.818387392	2.56E-08	1.27E-06
UNC13D	0.506963049	4.793320677	3.67E-05	0.000856904
DPYSL2	-0.498034001	5.947880101	0.000243483	0.004204055
XYLB	-0.605377799	2.556479734	0.003036802	0.03173978
PTGS1	-0.744691447	4.139422186	3.72E-08	1.75E-06
TBC1D2	0.520034908	4.431069273	1.94E-05	0.00049041
SEMA4G	-0.317745263	6.24434785	0.001700815	0.020487298
BAMBI	-1.269595389	1.815769201	5.67E-08	2.57E-06
CDC7	-0.367069567	4.539313655	0.005837208	0.051482004
SCD	0.251383268	12.21178452	0.003242656	0.033408599
PRTFDC1	-0.522025128	4.242734903	0.000181607	0.003288543
KCNK6	0.326457164	6.03272958	0.00231155	0.025720941
MISP	0.605088065	6.919300822	7.89E-11	6.73E-09
GADD45B	0.971335077	2.910415801	8.54E-09	4.64E-07
MKNK2	0.270121776	7.43421128	0.008963747	0.070931125
ARVCF	0.368222396	6.802464654	0.003280074	0.033693072
BCL2L13	0.252086226	6.007642309	0.013812753	0.097297822
SEC14L2	0.634128227	3.028481906	0.000188336	0.003383643
XBP1	0.458783455	8.50440131	1.73E-05	0.000440775
JOSD1	0.375760022	6.631275746	7.88E-05	0.00163416
PACSIN2	0.34229758	6.732500236	0.000804987	0.011220837
TOM1	0.485233431	4.720158975	0.000458706	0.007216721
PDGFB	0.855209392	5.126940622	4.34E-13	5.38E-11
APOL1	0.409961755	5.829166293	0.001559159	0.019201685
FOXRED2	-0.380603276	5.201459397	0.000590404	0.008829727
UPK3A	-1.247557158	1.392422119	5.05E-07	1.82E-05
ACO2	0.382511474	5.96666306	6.08E-05	0.001309494
PMM1	-0.357853639	4.116433299	0.011914986	0.087198917
ABHD4	0.32946336	4.708778943	0.012715718	0.091213375
POLE2	-0.504490361	3.324829026	0.003113996	0.032446322
CDKL1	-0.606345897	1.54021155	0.013087447	0.093392457
DDHD1	-0.45903674	4.664486805	0.014740513	0.101601611
ATP6V1D	0.436419324	5.7469172	2.81E-05	0.000675542
C14orf105	-0.466642426	4.146404621	0.003940017	0.039070418
PLEK2	0.323082246	5.049535461	0.012814504	0.091826144
DAAM1	0.386811027	5.021002494	0.001125945	0.014851235
PCK2	0.70946964	5.630029767	2.54E-09	1.61E-07
REC8	-0.826332159	2.583069076	5.02E-05	0.001114004
ABHD12	0.311494784	6.540037834	0.007770414	0.063638759
PROCR	0.469750291	5.825748999	0.004780768	0.044668169
HNF4A	-0.480802499	5.799647807	1.53E-05	0.000394249
SALL4	-0.601787126	3.106641235	0.000158093	0.002916552
NTSR1	0.861226389	7.876465351	7.60E-13	9.00E-11
TRIB3	1.06074331	7.395992079	1.59E-14	2.38E-12
SEC23B	0.236631034	6.787712183	0.012068744	0.088055535
PLCB4	-0.711794359	4.01906007	0.000517453	0.007893308
SAMHD1	-0.517398668	6.746928603	5.43E-06	0.000158038
NOP56	-0.3990832	7.255119085	0.000141432	0.002677477
JAG1	0.499913651	6.211482254	3.16E-06	9.71E-05
PXMP4	-0.3421792	4.432985185	0.00610973	0.053281809
WFDC2	0.527744922	5.515781232	0.000322463	0.00534612
FAM83D	-0.44013779	5.836898641	5.49E-05	0.001200121
DNTTIP1	0.547794934	5.501558008	0.000172017	0.003131238
SMAD7	0.434011548	4.190040223	0.000540903	0.008209951
LIPG	0.618472734	7.298817516	2.36E-10	1.83E-08
RIOK3	0.29227212	6.636412612	0.001913425	0.02232438
VSIG1	1.873226177	-0.239227104	0.000184048	0.003323986
ATG4A	0.751254965	3.928115132	8.02E-08	3.57E-06
MOSPD1	0.496579391	4.840345369	2.12E-05	0.000529991
ABCD1	0.322535787	5.434246614	0.004518281	0.042827072
PLP2	0.497743174	6.584671156	6.03E-05	0.001304508
SMARCA1	-0.324175467	6.679440414	0.000748786	0.010620547
MTMR8	-0.796890759	1.368805829	0.00279664	0.029639871
SCML2	-0.541669248	2.38884806	0.002942353	0.030917206
RP2	0.401625328	5.693397188	0.000284017	0.0048073
VGLL1	-0.722506578	2.694060301	4.47E-05	0.001008502
TIMP1	0.593487563	6.304607376	3.61E-05	0.000845891
GABRE	-0.409305974	6.30383947	0.012300377	0.089258916
SRPX2	0.94259638	0.682416357	0.003185806	0.032898855
CENPI	-0.434289486	4.746028421	0.005674594	0.050808869
FGF9	-1.544381659	3.321358997	1.24E-18	3.55E-16
TSC22D1	0.418979707	8.05915977	0.000473539	0.007402903
ZNF629	-0.239512007	5.993767392	0.01480329	0.101812465
CORO1A	0.722172957	1.934553995	0.002160644	0.024461199
CCL22	1.469835741	0.754589924	0.00015029	0.002806501
NDRG4	0.843780632	2.249703356	4.86E-05	0.001082409
SETD6	-0.494139266	4.680727205	2.32E-05	0.000574214
SMPD3	0.762805626	3.942877627	6.75E-08	3.05E-06
FA2H	0.570350769	5.945142464	9.21E-08	4.03E-06
AXIN1	0.292742717	6.361711245	0.00184007	0.021727369
COTL1	0.502768812	6.916671114	0.000242628	0.004194558
SLC7A5	0.872408715	8.356211406	1.22E-20	4.43E-18
UBE2I	0.269866324	7.463251706	0.005249401	0.048025168
EEF2K	-0.297181478	5.663484808	0.014114404	0.098822398
TOX3	-0.362828668	4.83104198	0.002617904	0.028197864
RPGRIP1L	-0.410581309	3.975622503	0.009367556	0.073070823
TMC5	0.327055522	7.166754536	0.002200341	0.024808438
CCP110	-0.434751461	5.022096386	0.000438199	0.006970613
LACTB	0.325509331	4.437500549	0.008219798	0.066572129
RAB11A	0.265592397	8.614996548	0.010592935	0.080214486
CD276	0.312607252	6.625184683	0.001941665	0.022539057
EHD4	0.289313312	7.220961155	0.002009122	0.023087258
BMF	0.419213013	5.273284594	0.000183534	0.003319064
VPS18	0.415784683	5.903353302	8.16E-05	0.00168596
RIPK2	0.454483776	5.360070681	0.000213394	0.003760106
NDRG1	1.002578126	5.626027313	4.00E-22	1.77E-19
ZC2HC1A	0.379757512	3.342092938	0.011414169	0.085079461
ANXA13	-0.825763479	3.285075637	1.14E-07	4.90E-06
SQLE	0.574816485	9.224784447	2.96E-10	2.23E-08
GSR	0.25533759	6.844815278	0.010002586	0.076759096
TNFRSF10A	0.320535313	4.139095032	0.012480388	0.090184253
MCM4	-0.222019957	8.066199699	0.006564629	0.056276837
BNIP3L	0.29507381	5.194143311	0.011128937	0.083582577
RELB	0.655369565	4.592703577	4.55E-06	0.00013488
ARHGEF18	0.48449581	2.539312256	0.014217852	0.099344259
PPP1R13L	0.328728698	6.067981974	0.002582343	0.027946235
TBC1D17	0.323810542	6.361923941	0.001518013	0.0187622
TIMM44	0.293913876	4.973262731	0.006686682	0.056868322
PPP6R1	0.264040194	7.351899207	0.002919132	0.030767294
PLD3	0.284208562	6.252576272	0.014618762	0.101015716
TBCB	0.284171337	6.137421885	0.008488996	0.068110197
SLC1A5	0.610756491	9.706811926	3.29E-08	1.58E-06
TJP3	0.38413101	5.93587933	0.001357216	0.017192237
APLP1	0.683501718	2.562578048	0.000287188	0.004855
BBC3	0.62808257	4.730643413	1.47E-06	4.81E-05
PLIN3	0.334021823	5.757205939	0.013791193	0.097253032
MYH14	0.705717716	9.727163898	9.05E-10	6.22E-08
CEACAM5	1.057583939	4.817226348	1.14E-16	2.49E-14
GRIN2D	0.260981731	5.69111345	0.0126875	0.091153688
DNASE2	0.45694843	4.868574217	0.000573516	0.008614647
ARRDC2	0.358664435	4.596905073	0.002884356	0.03044746
ISYNA1	-0.436629252	2.541300417	0.012971524	0.092613311
LSR	0.428571861	8.182864564	4.94E-05	0.00109946
MPP6	-0.485007442	4.768644087	0.000144432	0.002715558
OGDH	0.219087689	7.31176463	0.011236363	0.084159439
ADAP1	0.485177774	6.024710036	0.001031713	0.013802975
CAV2	0.777434998	5.658199934	8.86E-13	1.04E-10
CAV1	0.637005299	4.494361774	1.04E-06	3.53E-05
MET	0.614470056	9.704216742	1.78E-10	1.41E-08
TSPAN12	-0.72898987	4.888801576	5.63E-10	3.99E-08
HOXA13	-0.328423165	6.413057761	0.01262813	0.090917241
TAX1BP1	0.221245835	8.163537518	0.008814119	0.070145484
GRB10	0.882348877	5.583882972	2.55E-18	7.15E-16
ABHD11	0.670107397	5.299771272	4.89E-09	2.81E-07
STX1A	0.391611277	4.554123485	0.00622479	0.054011056
GARS	0.771366226	8.564339029	3.28E-19	9.80E-17
AGFG2	-0.423873405	4.718029289	0.001135253	0.014959656
SERPINE1	0.81227425	2.929799009	1.03E-05	0.000277213
PLOD3	0.317886171	7.397535508	0.001287868	0.016450241
CLIP2	0.45755033	5.569023025	0.001404041	0.017606884
TRIM14	-0.272266915	6.282770606	0.004595351	0.04337809
CORO2A	0.277190142	6.939564536	0.002115668	0.02406327
C5	-0.50584071	1.960640743	0.014264107	0.09941475
TLE4	0.376048953	4.767064269	0.004051067	0.039883853
AMBP	-0.809449026	0.744503686	0.007655723	0.06293078
CA9	-0.506017998	4.73049963	9.36E-05	0.001892275
DDX58	-0.514976	5.919938652	9.61E-06	0.000262042
NPDC1	0.283633809	5.657095939	0.009314785	0.072905701
ZFAND5	0.470670406	8.297595443	3.43E-08	1.64E-06
DVL1	0.360986724	6.43384782	0.003407683	0.034770002
LIPA	0.371085412	6.326722691	0.001177257	0.015360762
SFXN3	0.273708059	7.058812608	0.00916137	0.072109742
ANKRD26	-0.329266638	5.051857577	0.004715871	0.044165205
PITRM1	0.272616076	7.345570785	0.00744783	0.061628354
OBFC1	0.498140056	4.482552645	0.000185062	0.003333549
TSPAN14	0.421407486	7.444920506	8.81E-06	0.000243511
UBTF	-0.360288437	6.943718235	0.000102395	0.00202784
TUBD1	-0.421093465	3.506672543	0.003087745	0.032223207
HOXB6	-0.489383505	6.289951639	0.000375641	0.00610261
ALDH3A1	-0.604518356	3.786740557	2.94E-05	0.00070152
DHX58	-0.5304485	3.439745325	0.001202943	0.015641673
COL1A1	0.720510708	2.148081503	0.000591149	0.008831255
VAT1	0.463425076	7.916591726	5.04E-05	0.001115559
HDAC5	0.411381839	6.236022298	0.003024744	0.031637808
LUC7L3	-0.264572811	7.875576771	0.005490508	0.049652241
DUSP3	0.413668943	7.109068265	6.43E-06	0.000183647
MAP2K6	-0.632722525	2.925201001	0.00046309	0.007265657
TNFAIP1	0.376356219	6.169289134	0.000515812	0.007882337
TMEM97	-0.473860976	6.476156093	4.12E-05	0.000942513
ALDOC	0.55053555	4.148735163	0.001496228	0.018526265
AREG	0.720554025	6.654426687	5.73E-07	2.06E-05
TBC1D9	0.269189789	5.329360824	0.013606239	0.096245059
ANXA10	0.348532682	6.331778225	0.002603601	0.028065799
CCDC34	-0.504440393	4.671701166	9.47E-06	0.000258833
B3GAT1	-0.968396516	0.207414871	0.009384763	0.073161759
ST3GAL4	0.578311195	6.405684971	2.84E-05	0.000681646
TRIM3	-0.388987588	3.682164211	0.00736393	0.061153987
RNF141	0.324564855	6.645261266	0.001868552	0.02191384
ACCS	-0.501625214	3.722293807	0.004092271	0.040118959
SOX6	-1.382657451	1.556328883	4.78E-08	2.20E-06
POU2AF1	-1.187975637	1.352786676	6.88E-06	0.000194561
ASIC1	-0.60896477	4.002891059	4.88E-06	0.00014333
CAPRIN2	0.45285469	6.829439893	0.002353903	0.026069329
IL23A	1.009580215	1.964433214	0.000179544	0.003255486
SH2B3	0.646874643	4.384881507	1.90E-07	7.64E-06
OAS3	-0.640346159	8.3016518	4.73E-12	5.16E-10
OAS2	-0.954662048	6.705734803	7.21E-06	0.000203086
SLC38A1	0.35677753	9.556991641	0.008577745	0.068661926
TBC1D30	-0.315039927	5.101620982	0.003798928	0.038035756
RAB5B	0.227882075	7.547523503	0.013656802	0.096503385
UHRF1BP1L	-0.337121384	5.339040343	0.005761789	0.051090339
CDCA3	-0.431958796	4.723394859	0.000530716	0.008080602
CHPT1	-0.50191292	4.523947153	2.84E-05	0.000681675
SPSB2	0.418116048	3.111443303	0.009438635	0.07337364
ENO2	0.493127876	5.918401296	4.72E-06	0.000138878
CMAS	0.249362599	6.36656427	0.012519883	0.090374618
NEDD9	0.294168066	5.766230408	0.004202132	0.040786793
FAM65B	-0.743010649	1.862884464	0.000640841	0.009369917
ULBP1	1.023607246	2.959126334	4.73E-09	2.76E-07
PPARD	1.25472985	5.862964005	8.98E-30	1.03E-26
MCM3	-0.228111381	7.405022944	0.011429263	0.085140268
BACH2	1.284224162	0.698195877	0.000372414	0.006064517
TREML2	0.768207061	3.499977502	5.75E-07	2.06E-05
ALDH5A1	-0.551280074	4.263069952	0.000607818	0.009031196
PERP	0.548004018	8.275595608	1.30E-07	5.48E-06
CCND3	0.426820582	5.657351726	0.004223931	0.040859048
SRF	0.25206001	5.567677894	0.013107276	0.093473695
VEGFA	0.542405149	7.526966576	6.84E-08	3.07E-06
SLC29A1	-0.30659111	5.080134001	0.011125362	0.083582577
CLIC5	0.620009577	5.932506838	1.69E-08	8.74E-07
HMGCS1	0.505355167	8.589439991	1.52E-07	6.29E-06
