


Id	Name	GeneId	raw P-value	FDR
GO:0032452	histone demethylase activity	KDM5B	5.44E-02	1.0
GO:0032452	histone demethylase activity	KDM3A	5.44E-02	1.0
GO:0005178	integrin binding	ITGB1	5.87E-02	1.0
GO:0005178	integrin binding	ICAM1	5.87E-02	1.0
GO:0001227	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	PATZ1	3.17E-01	1.0
GO:0004003	ATP-dependent DNA helicase activity	BRIP1	3.17E-01	1.0
GO:0003678	DNA helicase activity	GINS2	5.87E-02	1.0
GO:0003678	DNA helicase activity	MCM7	5.87E-02	1.0
GO:0004713	protein tyrosine kinase activity	WEE1	3.28E-01	1.0
GO:0042562	hormone binding	PRLR	6.76E-02	1.0
GO:0042562	hormone binding	IGF1R	6.76E-02	1.0
GO:0003727	single-stranded RNA binding	HNRNPDL	3.39E-01	1.0
GO:0008175	tRNA methyltransferase activity	WDR4	3.39E-01	1.0
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	DHODH	3.50E-01	1.0
GO:0030547	receptor inhibitor activity	HBP1	3.50E-01	1.0
GO:0003730	mRNA 3'-UTR binding	CPEB4	3.50E-01	1.0
GO:0017147	Wnt-protein binding	FZD7	3.50E-01	1.0
GO:0015108	chloride transmembrane transporter activity	SAT1	3.61E-01	1.0
GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	CARD8	3.72E-01	1.0
GO:0015464	acetylcholine receptor activity	HBP1	3.82E-01	1.0
GO:0042166	acetylcholine binding	HBP1	3.82E-01	1.0
GO:0004712	protein serine/threonine/tyrosine kinase activity	GADD45B	3.82E-01	1.0
GO:0004708	MAP kinase kinase activity	GADD45B	3.82E-01	1.0
GO:0050660	flavin adenine dinucleotide binding	MMACHC	3.82E-01	1.0
GO:0015238	drug transmembrane transporter activity	SLC19A1	3.92E-01	1.0
GO:0016706	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	TET1	3.92E-01	1.0
GO:0004402	histone acetyltransferase activity	KANSL1L	3.92E-01	1.0
GO:0042887	amide transmembrane transporter activity	SLC19A1	3.92E-01	1.0
GO:0032947	protein-containing complex scaffold activity	SHANK2	4.02E-01	1.0
GO:0030374	nuclear receptor transcription coactivator activity	PPRC1	4.02E-01	1.0
GO:0061733	peptide-lysine-N-acetyltransferase activity	KANSL1L	4.02E-01	1.0
GO:0005539	glycosaminoglycan binding	GNS	4.22E-01	1.0
GO:0008289	lipid binding	SORL1	4.22E-01	1.0
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	MAT2A	1.07E-01	1.0
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	GSTT1	1.07E-01	1.0
GO:0016866	intramolecular transferase activity	HK1	4.31E-01	1.0
GO:0031625	ubiquitin protein ligase binding	UBE2L6	4.41E-01	1.0
GO:0031490	chromatin DNA binding	KDM3A	4.41E-01	1.0
GO:0015297	antiporter activity	SAT1	1.18E-01	1.0
GO:0015297	antiporter activity	SLC19A1	1.18E-01	1.0
GO:0034061	DNA polymerase activity	TPP1	4.50E-01	1.0
GO:0008028	monocarboxylic acid transmembrane transporter activity	SLC16A6	1.35E-01	1.0
GO:0008028	monocarboxylic acid transmembrane transporter activity	SLC16A14	1.35E-01	1.0
GO:0015103	inorganic anion transmembrane transporter activity	SAT1	4.68E-01	1.0
GO:0003743	translation initiation factor activity	EIF3B	4.76E-01	1.0
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	SOX9	4.76E-01	1.0
GO:0034212	peptide N-acetyltransferase activity	KANSL1L	4.76E-01	1.0
GO:0045182	translation regulator activity	SAMD4A	1.46E-01	1.0
GO:0045182	translation regulator activity	CPEB4	1.46E-01	1.0
GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	TOE1	5.02E-01	1.0
GO:0004222	metalloendopeptidase activity	TIMP2	1.63E-01	1.0
GO:0004222	metalloendopeptidase activity	TIMP3	1.63E-01	1.0
GO:0043021	ribonucleoprotein complex binding	NMD3	1.63E-01	1.0
GO:0043021	ribonucleoprotein complex binding	CPEB4	1.63E-01	1.0
GO:0008066	glutamate receptor activity	SHANK2	5.18E-01	1.0
GO:0016595	glutamate binding	SHANK2	5.18E-01	1.0
GO:0097367	carbohydrate derivative binding	GNS	5.18E-01	1.0
GO:0045296	cadherin binding	PPL	5.18E-01	1.0
GO:0008094	DNA-dependent ATPase activity	BRIP1	5.18E-01	1.0
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	POLR3H	5.34E-01	1.0
GO:0034062	5'-3' RNA polymerase activity	POLR3H	5.34E-01	1.0
GO:0097747	RNA polymerase activity	POLR3H	5.34E-01	1.0
GO:0016836	hydro-lyase activity	HK1	5.34E-01	1.0
GO:0016835	carbon-oxygen lyase activity	HK1	5.34E-01	1.0
GO:0019838	growth factor binding	IGF2R	5.42E-01	1.0
GO:0008173	RNA methyltransferase activity	MEPCE	1.93E-01	1.0
GO:0008173	RNA methyltransferase activity	WDR4	1.93E-01	1.0
GO:0008080	N-acetyltransferase activity	SAT2	4.90E-02	1.0
GO:0008080	N-acetyltransferase activity	KANSL1L	4.90E-02	1.0
GO:0008080	N-acetyltransferase activity	SAT1	4.90E-02	1.0
GO:0016247	channel regulator activity	FXYD3	5.57E-01	1.0
GO:0015171	amino acid transmembrane transporter activity	ARL6IP5	5.40E-02	1.0
GO:0015171	amino acid transmembrane transporter activity	SAT2	5.40E-02	1.0
GO:0015171	amino acid transmembrane transporter activity	SAT1	5.40E-02	1.0
GO:0019208	phosphatase regulator activity	PHACTR2	5.64E-01	1.0
GO:0019887	protein kinase regulator activity	GPRC5A	5.40E-02	1.0
GO:0019887	protein kinase regulator activity	CCNE2	5.40E-02	1.0
GO:0019887	protein kinase regulator activity	CCNG2	5.40E-02	1.0
GO:0015291	secondary active transmembrane transporter activity	SAT1	2.11E-01	1.0
GO:0015291	secondary active transmembrane transporter activity	SLC19A1	2.11E-01	1.0
GO:0140097	catalytic activity, acting on DNA	GINS2	2.17E-01	1.0
GO:0140097	catalytic activity, acting on DNA	MCM7	2.17E-01	1.0
GO:0005179	hormone activity	NEU1	5.91E-02	1.0
GO:0005179	hormone activity	LEMD1	5.91E-02	1.0
GO:0005179	hormone activity	TMPO	5.91E-02	1.0
GO:0005201	extracellular matrix structural constituent	LTBP1	5.92E-01	1.0
GO:0005548	phospholipid transporter activity	ATP8B2	5.92E-01	1.0
GO:0022804	active transmembrane transporter activity	SAT1	2.35E-01	1.0
GO:0022804	active transmembrane transporter activity	SLC19A1	2.35E-01	1.0
GO:0004527	exonuclease activity	TOE1	5.99E-01	1.0
GO:0070405	ammonium ion binding	SAT2	2.35E-01	1.0
GO:0070405	ammonium ion binding	SAT1	2.35E-01	1.0
GO:0050839	cell adhesion molecule binding	NECTIN4	2.41E-01	1.0
GO:0050839	cell adhesion molecule binding	PPL	2.41E-01	1.0
GO:0016410	N-acyltransferase activity	CERS4	1.70E-02	1.0
GO:0016410	N-acyltransferase activity	SAT2	1.70E-02	1.0
GO:0016410	N-acyltransferase activity	KANSL1L	1.70E-02	1.0
GO:0016410	N-acyltransferase activity	SAT1	1.70E-02	1.0
GO:0008301	DNA binding, bending	NCAPH2	6.18E-01	1.0
GO:0042803	protein homodimerization activity	NECTIN4	2.53E-01	1.0
GO:0042803	protein homodimerization activity	MCL1	2.53E-01	1.0
GO:0008047	enzyme activator activity	RGS16	2.59E-01	1.0
GO:0008047	enzyme activator activity	CARD8	2.59E-01	1.0
GO:0004497	monooxygenase activity	SQLE	2.59E-01	1.0
GO:0004497	monooxygenase activity	PAM	2.59E-01	1.0
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	WDR4	2.65E-01	1.0
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	COMT	2.65E-01	1.0
GO:0005544	calcium-dependent phospholipid binding	LTBP1	1.00E00	1.0
GO:0046983	protein dimerization activity	POLA2	8.52E-02	1.0
GO:0046983	protein dimerization activity	NECTIN4	8.52E-02	1.0
GO:0046983	protein dimerization activity	MCL1	8.52E-02	1.0
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	TSTA3	1.00E00	1.0
GO:0004866	endopeptidase inhibitor activity	TIMP2	2.71E-01	1.0
GO:0004866	endopeptidase inhibitor activity	TIMP3	2.71E-01	1.0
GO:0004714	transmembrane receptor protein tyrosine kinase activity	ERBB4	8.52E-02	1.0
GO:0004714	transmembrane receptor protein tyrosine kinase activity	EPHA2	8.52E-02	1.0
GO:0004714	transmembrane receptor protein tyrosine kinase activity	IGF1R	8.52E-02	1.0
GO:0016298	lipase activity	HBP1	1.00E00	1.0
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	TSTA3	1.00E00	1.0
GO:0042393	histone binding	ING5	2.78E-01	1.0
GO:0042393	histone binding	SGF29	2.78E-01	1.0
GO:0016597	amino acid binding	SHANK2	1.00E00	1.0
GO:0019199	transmembrane receptor protein kinase activity	ERBB4	9.16E-02	1.0
GO:0019199	transmembrane receptor protein kinase activity	EPHA2	9.16E-02	1.0
GO:0019199	transmembrane receptor protein kinase activity	IGF1R	9.16E-02	1.0
GO:0004540	ribonuclease activity	OAS3	1.00E00	1.0
GO:0008083	growth factor activity	LIF	1.00E00	1.0
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	TET1	3.14E-01	1.0
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	PAM	3.14E-01	1.0
GO:0004896	cytokine receptor activity	IFNGR2	3.22E-02	1.0
GO:0004896	cytokine receptor activity	IL6ST	3.22E-02	1.0
GO:0004896	cytokine receptor activity	PRLR	3.22E-02	1.0
GO:0004896	cytokine receptor activity	IL17RB	3.22E-02	1.0
GO:0002020	protease binding	CARD8	1.19E-01	1.0
GO:0002020	protease binding	TIMP2	1.19E-01	1.0
GO:0002020	protease binding	TIMP3	1.19E-01	1.0
GO:0003774	motor activity	MYO1E	3.32E-01	1.0
GO:0003774	motor activity	KIF3C	3.32E-01	1.0
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	CCNE2	1.19E-01	1.0
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	CCNG2	1.19E-01	1.0
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	PRPF4B	1.19E-01	1.0
GO:0016779	nucleotidyltransferase activity	OAS3	3.44E-01	1.0
GO:0016779	nucleotidyltransferase activity	TPP1	3.44E-01	1.0
GO:0004707	MAP kinase activity	GADD45B	1.00E00	1.0
GO:0046914	transition metal ion binding	TET1	1.00E00	1.0
GO:0003713	transcription coactivator activity	JUN	3.62E-01	1.0
GO:0003713	transcription coactivator activity	PPRC1	3.62E-01	1.0
GO:0017137	Rab GTPase binding	RAB11FIP1	3.68E-01	1.0
GO:0017137	Rab GTPase binding	TBC1D2B	3.68E-01	1.0
GO:0031406	carboxylic acid binding	SLC19A1	3.68E-01	1.0
GO:0031406	carboxylic acid binding	SHANK2	3.68E-01	1.0
GO:0042626	ATPase activity, coupled to transmembrane movement of substances	ABCC1	1.00E00	1.0
GO:0019955	cytokine binding	IFNGR2	4.98E-02	1.0
GO:0019955	cytokine binding	IL6ST	4.98E-02	1.0
GO:0019955	cytokine binding	PRLR	4.98E-02	1.0
GO:0019955	cytokine binding	IL17RB	4.98E-02	1.0
GO:0005230	extracellular ligand-gated ion channel activity	P2RX4	6.56E-01	1.0
GO:0005230	extracellular ligand-gated ion channel activity	SHANK2	6.56E-01	1.0
GO:0043177	organic acid binding	SLC19A1	6.56E-01	1.0
GO:0043177	organic acid binding	SHANK2	6.56E-01	1.0
GO:0005085	guanyl-nucleotide exchange factor activity	RAPGEF1	1.00E00	1.0
GO:0008168	methyltransferase activity	MEPCE	1.85E-01	1.0
GO:0008168	methyltransferase activity	WDR4	1.85E-01	1.0
GO:0008168	methyltransferase activity	COMT	1.85E-01	1.0
GO:0019207	kinase regulator activity	GPRC5A	1.85E-01	1.0
GO:0019207	kinase regulator activity	CCNE2	1.85E-01	1.0
GO:0019207	kinase regulator activity	CCNG2	1.85E-01	1.0
GO:0005261	cation channel activity	P2RX4	2.06E-01	1.0
GO:0005261	cation channel activity	FXYD3	2.06E-01	1.0
GO:0005261	cation channel activity	SHANK2	2.06E-01	1.0
GO:0008144	drug binding	HBP1	6.69E-01	1.0
GO:0008144	drug binding	SLC19A1	6.69E-01	1.0
GO:0016741	transferase activity, transferring one-carbon groups	MEPCE	2.06E-01	1.0
GO:0016741	transferase activity, transferring one-carbon groups	WDR4	2.06E-01	1.0
GO:0016741	transferase activity, transferring one-carbon groups	COMT	2.06E-01	1.0
GO:0043492	ATPase activity, coupled to movement of substances	ABCC1	6.77E-01	1.0
GO:0043492	ATPase activity, coupled to movement of substances	ATP8B2	6.77E-01	1.0
GO:0042165	neurotransmitter binding	SHANK2	1.00E00	1.0
GO:0005319	lipid transporter activity	ATP8B2	1.00E00	1.0
GO:0061650	ubiquitin-like protein conjugating enzyme activity	UBE2L6	1.00E00	1.0
GO:0046943	carboxylic acid transmembrane transporter activity	ARL6IP5	1.96E-03	0.49430777777471957
GO:0046943	carboxylic acid transmembrane transporter activity	SLC16A6	1.96E-03	0.49430777777471957
GO:0046943	carboxylic acid transmembrane transporter activity	SAT2	1.96E-03	0.49430777777471957
GO:0046943	carboxylic acid transmembrane transporter activity	SAT1	1.96E-03	0.49430777777471957
GO:0046943	carboxylic acid transmembrane transporter activity	SLC19A1	1.96E-03	0.49430777777471957
GO:0046943	carboxylic acid transmembrane transporter activity	SLC16A14	1.96E-03	0.49430777777471957
GO:0005096	GTPase activator activity	TBC1D2B	1.00E00	1.0
GO:0008237	metallopeptidase activity	TIMP2	6.92E-01	1.0
GO:0008237	metallopeptidase activity	TIMP3	6.92E-01	1.0
GO:0030695	GTPase regulator activity	TBC1D2B	1.00E00	1.0
GO:0004197	cysteine-type endopeptidase activity	CARD8	1.00E00	1.0
GO:0015081	sodium ion transmembrane transporter activity	FXYD3	1.00E00	1.0
GO:0030594	neurotransmitter receptor activity	HBP1	7.01E-01	1.0
GO:0030594	neurotransmitter receptor activity	SHANK2	7.01E-01	1.0
GO:0005516	calmodulin binding	LTBP1	1.00E00	1.0
GO:0043565	sequence-specific DNA binding	HNRNPDL	1.16E-01	1.0
GO:0043565	sequence-specific DNA binding	E2F2	1.16E-01	1.0
GO:0043565	sequence-specific DNA binding	TPP1	1.16E-01	1.0
GO:0043565	sequence-specific DNA binding	TELO2	1.16E-01	1.0
GO:0030414	peptidase inhibitor activity	TIMP2	7.23E-01	1.0
GO:0030414	peptidase inhibitor activity	TIMP3	7.23E-01	1.0
GO:0060589	nucleoside-triphosphatase regulator activity	TBC1D2B	1.00E00	1.0
GO:0061630	ubiquitin protein ligase activity	UHRF1	1.00E00	1.0
GO:0061630	ubiquitin protein ligase activity	RNF19B	1.00E00	1.0
GO:0008017	microtubule binding	CEP57	1.57E-01	1.0
GO:0008017	microtubule binding	TUBGCP3	1.57E-01	1.0
GO:0008017	microtubule binding	KIF3C	1.57E-01	1.0
GO:0008017	microtubule binding	EML2	1.57E-01	1.0
GO:0061134	peptidase regulator activity	CARD8	4.66E-01	1.0
GO:0061134	peptidase regulator activity	TIMP2	4.66E-01	1.0
GO:0061134	peptidase regulator activity	TIMP3	4.66E-01	1.0
GO:0004721	phosphoprotein phosphatase activity	TIMM50	7.26E-01	1.0
GO:0008514	organic anion transmembrane transporter activity	ARL6IP5	5.77E-03	0.7280779356608018
GO:0008514	organic anion transmembrane transporter activity	SLC16A6	5.77E-03	0.7280779356608018
GO:0008514	organic anion transmembrane transporter activity	SAT2	5.77E-03	0.7280779356608018
GO:0008514	organic anion transmembrane transporter activity	SAT1	5.77E-03	0.7280779356608018
GO:0008514	organic anion transmembrane transporter activity	SLC19A1	5.77E-03	0.7280779356608018
GO:0008514	organic anion transmembrane transporter activity	SLC16A14	5.77E-03	0.7280779356608018
GO:0015318	inorganic molecular entity transmembrane transporter activity	SAT1	7.27E-01	1.0
GO:0008509	anion transmembrane transporter activity	ARL6IP5	6.01E-03	0.6069058704131123
GO:0008509	anion transmembrane transporter activity	SLC16A6	6.01E-03	0.6069058704131123
GO:0008509	anion transmembrane transporter activity	SAT2	6.01E-03	0.6069058704131123
GO:0008509	anion transmembrane transporter activity	SAT1	6.01E-03	0.6069058704131123
GO:0008509	anion transmembrane transporter activity	SLC19A1	6.01E-03	0.6069058704131123
GO:0008509	anion transmembrane transporter activity	SLC16A14	6.01E-03	0.6069058704131123
GO:0022834	ligand-gated channel activity	P2RX4	4.71E-01	1.0
GO:0022834	ligand-gated channel activity	SHANK2	4.71E-01	1.0
GO:0022834	ligand-gated channel activity	TPCN1	4.71E-01	1.0
GO:0019901	protein kinase binding	GPRC5A	4.71E-01	1.0
GO:0019901	protein kinase binding	CCNE2	4.71E-01	1.0
GO:0019901	protein kinase binding	CCNG2	4.71E-01	1.0
GO:0015276	ligand-gated ion channel activity	P2RX4	4.71E-01	1.0
GO:0015276	ligand-gated ion channel activity	SHANK2	4.71E-01	1.0
GO:0015276	ligand-gated ion channel activity	TPCN1	4.71E-01	1.0
GO:0001664	G-protein coupled receptor binding	PTCH1	7.27E-01	1.0
GO:0004518	nuclease activity	TOE1	1.00E00	1.0
GO:0004518	nuclease activity	LIMA1	1.00E00	1.0
GO:0000987	proximal promoter sequence-specific DNA binding	JUN	1.73E-01	1.0
GO:0000987	proximal promoter sequence-specific DNA binding	MAFF	1.73E-01	1.0
GO:0000987	proximal promoter sequence-specific DNA binding	CREB3L2	1.73E-01	1.0
GO:0000987	proximal promoter sequence-specific DNA binding	FOS	1.73E-01	1.0
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	JUN	1.73E-01	1.0
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	MAFF	1.73E-01	1.0
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	CREB3L2	1.73E-01	1.0
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	FOS	1.73E-01	1.0
GO:0005126	cytokine receptor binding	GDF15	1.76E-01	1.0
GO:0005126	cytokine receptor binding	LIF	1.76E-01	1.0
GO:0005126	cytokine receptor binding	TNFSF9	1.76E-01	1.0
GO:0005126	cytokine receptor binding	BMP7	1.76E-01	1.0
GO:0017016	Ras GTPase binding	RAB11FIP1	1.00E00	1.0
GO:0017016	Ras GTPase binding	TBC1D2B	1.00E00	1.0
GO:0031267	small GTPase binding	RAB11FIP1	1.00E00	1.0
GO:0031267	small GTPase binding	TBC1D2B	1.00E00	1.0
GO:0000166	nucleotide binding	PTAFR	1.00E00	1.0
GO:0000166	nucleotide binding	MMACHC	1.00E00	1.0
GO:0019900	kinase binding	GPRC5A	5.17E-01	1.0
GO:0019900	kinase binding	CCNE2	5.17E-01	1.0
GO:0019900	kinase binding	CCNG2	5.17E-01	1.0
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	CERS4	3.08E-01	1.0
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	SAT2	3.08E-01	1.0
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	KANSL1L	3.08E-01	1.0
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	SAT1	3.08E-01	1.0
GO:0005125	cytokine activity	CSF1	3.14E-01	1.0
GO:0005125	cytokine activity	GDF15	3.14E-01	1.0
GO:0005125	cytokine activity	LIF	3.14E-01	1.0
GO:0005125	cytokine activity	BMP7	3.14E-01	1.0
GO:0015631	tubulin binding	CEP57	1.06E-01	1.0
GO:0015631	tubulin binding	RITA1	1.06E-01	1.0
GO:0015631	tubulin binding	TUBGCP3	1.06E-01	1.0
GO:0015631	tubulin binding	KIF3C	1.06E-01	1.0
GO:0015631	tubulin binding	EML2	1.06E-01	1.0
GO:0003779	actin binding	GSN	1.00E00	1.0
GO:0003779	actin binding	SYNPO2	1.00E00	1.0
GO:0003729	mRNA binding	SAMD4A	1.00E00	1.0
GO:0003729	mRNA binding	CPEB4	1.00E00	1.0
GO:0005543	phospholipid binding	LTBP1	5.25E-01	1.0
GO:0022836	gated channel activity	P2RX4	7.52E-01	1.0
GO:0022836	gated channel activity	SHANK2	7.52E-01	1.0
GO:0022836	gated channel activity	TPCN1	7.52E-01	1.0
GO:0003682	chromatin binding	ING5	7.52E-01	1.0
GO:0003682	chromatin binding	KDM3A	7.52E-01	1.0
GO:0003682	chromatin binding	NCAPH2	7.52E-01	1.0
GO:0044877	protein-containing complex binding	ITGB1	6.38E-02	1.0
GO:0044877	protein-containing complex binding	IRS1	6.38E-02	1.0
GO:0044877	protein-containing complex binding	NMD3	6.38E-02	1.0
GO:0044877	protein-containing complex binding	HBP1	6.38E-02	1.0
GO:0044877	protein-containing complex binding	ICAM1	6.38E-02	1.0
GO:0044877	protein-containing complex binding	CPEB4	6.38E-02	1.0
GO:0016301	kinase activity	DTYMK	2.18E-01	1.0
GO:0016301	kinase activity	AK4	2.18E-01	1.0
GO:0016301	kinase activity	COASY	2.18E-01	1.0
GO:0016301	kinase activity	HK1	2.18E-01	1.0
GO:0016301	kinase activity	KHK	2.18E-01	1.0
GO:0004175	endopeptidase activity	BACE2	7.66E-01	1.0
GO:0004175	endopeptidase activity	TPP1	7.66E-01	1.0
GO:0004175	endopeptidase activity	PSEN1	7.66E-01	1.0
GO:0140096	catalytic activity, acting on a protein	TPST2	7.66E-01	1.0
GO:0140096	catalytic activity, acting on a protein	KDM5B	7.66E-01	1.0
GO:0140096	catalytic activity, acting on a protein	KDM3A	7.66E-01	1.0
GO:0016757	transferase activity, transferring glycosyl groups	ST3GAL1	5.38E-01	1.0
GO:0022803	passive transmembrane transporter activity	P2RX4	7.68E-01	1.0
GO:0022803	passive transmembrane transporter activity	SHANK2	7.68E-01	1.0
GO:0022803	passive transmembrane transporter activity	TPCN1	7.68E-01	1.0
GO:0015267	channel activity	P2RX4	7.68E-01	1.0
GO:0015267	channel activity	SHANK2	7.68E-01	1.0
GO:0015267	channel activity	TPCN1	7.68E-01	1.0
GO:0015077	monovalent inorganic cation transmembrane transporter activity	FXYD3	3.77E-01	1.0
GO:0033218	amide binding	SLC19A1	3.77E-01	1.0
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	DBP	1.00E00	1.0
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	PATZ1	1.00E00	1.0
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	KLF3	1.00E00	1.0
GO:0016746	transferase activity, transferring acyl groups	CERS4	2.44E-01	1.0
GO:0016746	transferase activity, transferring acyl groups	SAT2	2.44E-01	1.0
GO:0016746	transferase activity, transferring acyl groups	CHML	2.44E-01	1.0
GO:0016746	transferase activity, transferring acyl groups	KANSL1L	2.44E-01	1.0
GO:0016746	transferase activity, transferring acyl groups	SAT1	2.44E-01	1.0
GO:0140098	catalytic activity, acting on RNA	OAS3	7.74E-01	1.0
GO:0140098	catalytic activity, acting on RNA	POLR3H	7.74E-01	1.0
GO:0097159	organic cyclic compound binding	SLC19A1	3.83E-01	1.0
GO:0008134	transcription factor binding	PAGR1	1.47E-01	1.0
GO:0008134	transcription factor binding	JUN	1.47E-01	1.0
GO:0008134	transcription factor binding	E2F2	1.47E-01	1.0
GO:0008134	transcription factor binding	SGF29	1.47E-01	1.0
GO:0008134	transcription factor binding	PPRC1	1.47E-01	1.0
GO:0008134	transcription factor binding	TRERF1	1.47E-01	1.0
GO:0016791	phosphatase activity	PLPP5	7.77E-01	1.0
GO:0016791	phosphatase activity	TIMM50	7.77E-01	1.0
GO:0005509	calcium ion binding	LTBP1	2.70E-01	1.0
GO:0051020	GTPase binding	RAB11FIP1	1.00E00	1.0
GO:0051020	GTPase binding	RAPGEF1	1.00E00	1.0
GO:0051020	GTPase binding	TBC1D2B	1.00E00	1.0
GO:0042623	ATPase activity, coupled	ABCC1	1.00E00	1.0
GO:0042623	ATPase activity, coupled	BRIP1	1.00E00	1.0
GO:0042623	ATPase activity, coupled	ATP8B2	1.00E00	1.0
GO:0003712	transcription coregulator activity	JUN	1.00E00	1.0
GO:0003712	transcription coregulator activity	PPRC1	1.00E00	1.0
GO:0003712	transcription coregulator activity	SLC2A4RG	1.00E00	1.0
GO:0008234	cysteine-type peptidase activity	CARD8	2.72E-01	1.0
GO:0016829	lyase activity	ENO2	5.99E-01	1.0
GO:0016829	lyase activity	HK1	5.99E-01	1.0
GO:0043168	anion binding	LTBP1	1.95E-01	1.0
GO:0004842	ubiquitin-protein transferase activity	UHRF1	8.02E-01	1.0
